tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
15360,note_on,48,0,2,,,,,,,,,1,,55,0
15360,note_on,0,0,1,,,,,,,,,0,,72,100
15360,note_on,48,0,1,,,,,,,,,0,,67,0
15372,note_on,0,0,1,,,,,,,,,0,,71,100
15372,note_on,12,0,1,,,,,,,,,0,,72,0
15384,note_on,0,0,1,,,,,,,,,0,,72,100
15384,note_on,12,0,1,,,,,,,,,0,,71,0
15396,note_on,12,0,1,,,,,,,,,0,,72,0
15396,note_on,0,0,1,,,,,,,,,0,,71,100
15408,note_on,12,0,1,,,,,,,,,0,,71,0
15408,note_on,0,0,1,,,,,,,,,0,,72,100
15408,note_on,48,0,2,,,,,,,,,1,,43,0
15408,note_on,0,0,2,,,,,,,,,1,,48,100
15456,note_on,48,0,2,,,,,,,,,1,,48,0
15456,note_on,0,0,2,,,,,,,,,1,,60,100
15480,note_on,0,0,1,,,,,,,,,0,,77,100
15480,note_on,72,0,1,,,,,,,,,0,,72,0
15504,note_on,48,0,2,,,,,,,,,1,,60,0
15504,note_on,0,0,1,,,,,,,,,0,,76,100
15504,note_on,24,0,1,,,,,,,,,0,,77,0
15504,note_on,0,0,2,,,,,,,,,1,,58,100
15528,note_on,24,0,1,,,,,,,,,0,,76,0
15528,note_on,0,0,1,,,,,,,,,0,,74,100
15552,note_on,48,0,2,,,,,,,,,1,,58,0
15552,note_on,0,0,2,,,,,,,,,1,,57,100
15552,note_on,0,0,1,,,,,,,,,0,,73,100
15552,note_on,24,0,1,,,,,,,,,0,,74,0
15576,note_on,0,0,1,,,,,,,,,0,,82,100
15576,note_on,24,0,1,,,,,,,,,0,,73,0
15600,note_on,0,0,1,,,,,,,,,0,,81,100
15600,note_on,48,0,2,,,,,,,,,1,,57,0
15600,note_on,0,0,2,,,,,,,,,1,,49,100
15600,note_on,24,0,1,,,,,,,,,0,,82,0
15624,note_on,0,0,1,,,,,,,,,0,,79,100
15624,note_on,24,0,1,,,,,,,,,0,,81,0
15648,note_on,24,0,1,,,,,,,,,0,,79,0
15648,note_on,0,0,2,,,,,,,,,1,,45,100
15648,note_on,48,0,2,,,,,,,,,1,,49,0
15648,note_on,0,0,1,,,,,,,,,0,,77,100
15672,note_on,0,0,1,,,,,,,,,0,,76,100
15672,note_on,24,0,1,,,,,,,,,0,,77,0
15696,note_on,24,0,1,,,,,,,,,0,,76,0
15696,note_on,0,0,1,,,,,,,,,0,,77,100
15696,note_on,48,0,2,,,,,,,,,1,,45,0
15696,note_on,0,0,2,,,,,,,,,1,,50,100
15720,note_on,24,0,1,,,,,,,,,0,,77,0
15720,note_on,0,0,1,,,,,,,,,0,,69,100
15744,note_on,0,0,2,,,,,,,,,1,,52,100
15744,note_on,24,0,1,,,,,,,,,0,,69,0
15744,note_on,0,0,1,,,,,,,,,0,,67,100
15744,note_on,48,0,2,,,,,,,,,1,,50,0
15768,note_on,24,0,1,,,,,,,,,0,,67,0
15768,note_on,0,0,1,,,,,,,,,0,,69,100
15792,note_on,0,0,1,,,,,,,,,0,,65,100
15792,note_on,24,0,1,,,,,,,,,0,,69,0
15792,note_on,48,0,2,,,,,,,,,1,,52,0
15792,note_on,0,0,2,,,,,,,,,1,,53,100
15816,note_on,24,0,1,,,,,,,,,0,,65,0
15816,note_on,0,0,1,,,,,,,,,0,,74,100
15840,note_on,48,0,2,,,,,,,,,1,,53,0
15840,note_on,0,0,2,,,,,,,,,1,,55,100
15840,note_on,24,0,1,,,,,,,,,0,,74,0
15840,note_on,0,0,1,,,,,,,,,0,,64,100
15864,note_on,24,0,1,,,,,,,,,0,,64,0
15864,note_on,0,0,1,,,,,,,,,0,,74,100
15888,note_on,24,0,1,,,,,,,,,0,,74,0
15888,note_on,0,0,2,,,,,,,,,1,,57,100
15888,note_on,48,0,2,,,,,,,,,1,,55,0
15888,note_on,0,0,1,,,,,,,,,0,,74,100
15900,note_on,12,0,1,,,,,,,,,0,,74,0
15900,note_on,0,0,1,,,,,,,,,0,,73,100
15912,note_on,12,0,1,,,,,,,,,0,,73,0
15912,note_on,0,0,1,,,,,,,,,0,,74,100
15924,note_on,12,0,1,,,,,,,,,0,,74,0
15924,note_on,0,0,1,,,,,,,,,0,,73,100
15936,note_on,48,0,2,,,,,,,,,1,,57,0
15936,note_on,12,0,1,,,,,,,,,0,,73,0
15936,note_on,0,0,2,,,,,,,,,1,,45,100
15936,note_on,0,0,1,,,,,,,,,0,,74,100
15948,note_on,12,0,1,,,,,,,,,0,,74,0
15948,note_on,0,0,1,,,,,,,,,0,,73,100
15960,note_on,0,0,1,,,,,,,,,0,,74,100
15960,note_on,12,0,1,,,,,,,,,0,,73,0
15984,note_on,0,0,1,,,,,,,,,0,,74,100
15984,note_on,24,0,1,,,,,,,,,0,,74,0
15984,note_on,48,0,2,,,,,,,,,1,,45,0
15984,note_on,0,0,2,,,,,,,,,1,,50,100
16008,note_on,24,0,2,,,,,,,,,1,,50,0
16008,note_on,0,0,2,,,,,,,,,1,,51,100
16032,note_on,24,0,2,,,,,,,,,1,,51,0
16032,note_on,0,0,2,,,,,,,,,1,,50,100
16056,note_on,0,0,2,,,,,,,,,1,,48,100
16056,note_on,0,0,1,,,,,,,,,0,,62,100
16056,note_on,24,0,2,,,,,,,,,1,,50,0
16056,note_on,72,0,1,,,,,,,,,0,,74,0
16080,note_on,24,0,1,,,,,,,,,0,,62,0
16080,note_on,0,0,1,,,,,,,,,0,,64,100
16080,note_on,0,0,2,,,,,,,,,1,,46,100
16080,note_on,24,0,2,,,,,,,,,1,,48,0
16104,note_on,24,0,2,,,,,,,,,1,,46,0
16104,note_on,0,0,2,,,,,,,,,1,,45,100
16104,note_on,24,0,1,,,,,,,,,0,,64,0
16104,note_on,0,0,1,,,,,,,,,0,,66,100
16128,note_on,0,0,1,,,,,,,,,0,,67,100
16128,note_on,24,0,2,,,,,,,,,1,,45,0
16128,note_on,24,0,1,,,,,,,,,0,,66,0
16128,note_on,0,0,2,,,,,,,,,1,,46,100
16152,note_on,0,0,1,,,,,,,,,0,,62,100
16152,note_on,24,0,1,,,,,,,,,0,,67,0
16176,note_on,48,0,2,,,,,,,,,1,,46,0
16176,note_on,0,0,1,,,,,,,,,0,,67,100
16176,note_on,24,0,1,,,,,,,,,0,,62,0
16176,note_on,0,0,2,,,,,,,,,1,,55,100
16200,note_on,24,0,1,,,,,,,,,0,,67,0
16200,note_on,0,0,1,,,,,,,,,0,,70,100
16224,note_on,24,0,1,,,,,,,,,0,,70,0
16224,note_on,0,0,1,,,,,,,,,0,,69,100
16224,note_on,0,0,2,,,,,,,,,1,,54,100
16224,note_on,48,0,2,,,,,,,,,1,,55,0
16248,note_on,24,0,1,,,,,,,,,0,,69,0
16248,note_on,0,0,1,,,,,,,,,0,,72,100
16272,note_on,0,0,1,,,,,,,,,0,,70,100
16272,note_on,0,0,2,,,,,,,,,1,,55,100
16272,note_on,48,0,2,,,,,,,,,1,,54,0
16272,note_on,24,0,1,,,,,,,,,0,,72,0
16296,note_on,24,0,2,,,,,,,,,1,,55,0
16296,note_on,0,0,2,,,,,,,,,1,,50,100
16320,note_on,24,0,2,,,,,,,,,1,,50,0
16320,note_on,0,0,2,,,,,,,,,1,,55,100
16320,note_on,48,0,1,,,,,,,,,0,,70,0
16320,note_on,0,0,1,,,,,,,,,0,,79,100
16344,note_on,24,0,2,,,,,,,,,1,,55,0
16344,note_on,0,0,2,,,,,,,,,1,,58,100
16368,note_on,0,0,1,,,,,,,,,0,,78,100
16368,note_on,48,0,1,,,,,,,,,0,,79,0
16368,note_on,0,0,2,,,,,,,,,1,,57,100
16368,note_on,24,0,2,,,,,,,,,1,,58,0
16392,note_on,24,0,2,,,,,,,,,1,,57,0
16392,note_on,0,0,2,,,,,,,,,1,,60,100
16416,note_on,48,0,1,,,,,,,,,0,,78,0
16416,note_on,0,0,1,,,,,,,,,0,,79,100
16416,note_on,24,0,2,,,,,,,,,1,,60,0
16416,note_on,0,0,2,,,,,,,,,1,,58,100
16440,note_on,24,0,1,,,,,,,,,0,,79,0
16440,note_on,0,0,1,,,,,,,,,0,,74,100
16464,note_on,48,0,2,,,,,,,,,1,,58,0
16464,note_on,0,0,2,,,,,,,,,1,,55,100
16464,note_on,24,0,1,,,,,,,,,0,,74,0
16464,note_on,0,0,1,,,,,,,,,0,,79,100
16488,note_on,24,0,1,,,,,,,,,0,,79,0
16488,note_on,0,0,1,,,,,,,,,0,,82,100
16512,note_on,48,0,2,,,,,,,,,1,,55,0
16512,note_on,0,0,2,,,,,,,,,1,,54,100
16512,note_on,0,0,1,,,,,,,,,0,,81,100
16512,note_on,24,0,1,,,,,,,,,0,,82,0
16536,note_on,0,0,1,,,,,,,,,0,,84,100
16536,note_on,24,0,1,,,,,,,,,0,,81,0
16560,note_on,0,0,1,,,,,,,,,0,,82,100
16560,note_on,24,0,1,,,,,,,,,0,,84,0
16560,note_on,48,0,2,,,,,,,,,1,,54,0
16560,note_on,0,0,2,,,,,,,,,1,,55,100
16584,note_on,0,0,1,,,,,,,,,0,,74,100
16584,note_on,24,0,1,,,,,,,,,0,,82,0
16608,note_on,0,0,2,,,,,,,,,1,,57,100
16608,note_on,48,0,2,,,,,,,,,1,,55,0
16608,note_on,0,0,1,,,,,,,,,0,,82,100
16608,note_on,24,0,1,,,,,,,,,0,,74,0
16632,note_on,0,0,1,,,,,,,,,0,,74,100
16632,note_on,24,0,1,,,,,,,,,0,,82,0
16656,note_on,0,0,1,,,,,,,,,0,,82,100
16656,note_on,24,0,1,,,,,,,,,0,,74,0
16656,note_on,48,0,2,,,,,,,,,1,,57,0
16656,note_on,0,0,2,,,,,,,,,1,,58,100
