tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,channel,tempo,program,note,velocity
178,note_off,10,0,0,,,,,0,,,78,0
178,note_off,0,0,0,,,,,1,,,78,0
180,note_on,2,0,0,,,,,0,,,79,96
180,note_on,0,0,0,,,,,1,,,79,96
190,note_off,10,0,0,,,,,0,,,79,0
190,note_off,0,0,0,,,,,1,,,79,0
192,note_on,2,0,0,,,,,0,,,81,96
192,note_on,0,0,0,,,,,1,,,81,96
213,note_off,21,0,0,,,,,0,,,81,0
213,note_off,0,0,0,,,,,1,,,81,0
216,note_on,3,0,0,,,,,0,,,81,96
216,note_on,0,0,0,,,,,1,,,81,96
237,note_off,21,0,0,,,,,0,,,81,0
237,note_off,0,0,0,,,,,1,,,81,0
240,note_on,3,0,0,,,,,0,,,81,96
240,note_on,0,0,0,,,,,1,,,81,96
250,note_off,10,0,0,,,,,0,,,81,0
250,note_off,0,0,0,,,,,1,,,81,0
252,note_on,2,0,0,,,,,0,,,79,96
252,note_on,0,0,0,,,,,1,,,79,96
262,note_off,10,0,0,,,,,0,,,79,0
262,note_off,0,0,0,,,,,1,,,79,0
264,note_on,2,0,0,,,,,0,,,78,96
264,note_on,0,0,0,,,,,1,,,78,96
274,note_off,10,0,0,,,,,0,,,78,0
274,note_off,0,0,0,,,,,1,,,78,0
276,note_on,2,0,0,,,,,0,,,76,96
276,note_on,0,0,0,,,,,1,,,76,96
286,note_off,10,0,0,,,,,0,,,76,0
286,note_off,0,0,0,,,,,1,,,76,0
288,note_on,2,0,0,,,,,0,,,74,96
288,note_on,0,0,0,,,,,1,,,74,96
309,note_off,21,0,0,,,,,0,,,74,0
309,note_off,0,0,0,,,,,1,,,74,0
312,note_on,3,0,0,,,,,0,,,74,96
312,note_on,0,0,0,,,,,1,,,74,96
333,note_off,21,0,0,,,,,0,,,74,0
333,note_off,0,0,0,,,,,1,,,74,0
336,note_on,3,0,0,,,,,0,,,74,96
336,note_on,0,0,0,,,,,1,,,74,96
346,note_off,10,0,0,,,,,0,,,74,0
346,note_off,0,0,0,,,,,1,,,74,0
348,note_on,2,0,0,,,,,0,,,76,96
348,note_on,0,0,0,,,,,1,,,76,96
358,note_off,10,0,0,,,,,0,,,76,0
358,note_off,0,0,0,,,,,1,,,76,0
360,note_on,2,0,0,,,,,0,,,78,96
360,note_on,0,0,0,,,,,1,,,78,96
370,note_off,10,0,0,,,,,0,,,78,0
370,note_off,0,0,0,,,,,1,,,78,0
372,note_on,2,0,0,,,,,0,,,79,96
372,note_on,0,0,0,,,,,1,,,79,96
382,note_off,10,0,0,,,,,0,,,79,0
382,note_off,0,0,0,,,,,1,,,79,0
384,note_on,2,0,0,,,,,0,,,81,96
384,note_on,0,0,0,,,,,1,,,81,96
384,note_on,0,0,0,,,,,2,,,69,96
426,note_off,42,0,0,,,,,2,,,69,0
432,note_on,6,0,0,,,,,2,,,69,96
474,note_off,42,0,0,,,,,2,,,69,0
480,note_on,6,0,0,,,,,2,,,69,96
532,note_off,52,0,0,,,,,2,,,69,0
540,note_on,8,0,0,,,,,2,,,71,96
550,note_off,10,0,0,,,,,2,,,71,0
552,note_off,2,0,0,,,,,0,,,81,0
552,note_off,0,0,0,,,,,1,,,81,0
552,note_on,0,0,0,,,,,2,,,73,96
562,note_off,10,0,0,,,,,2,,,73,0
564,note_on,2,0,0,,,,,2,,,74,96
574,note_off,10,0,0,,,,,2,,,74,0
576,note_on,2,0,0,,,,,0,,,79,96
576,note_on,0,0,0,,,,,1,,,79,96
576,note_on,0,0,0,,,,,2,,,76,96
597,note_off,21,0,0,,,,,2,,,76,0
600,note_on,3,0,0,,,,,2,,,76,96
621,note_off,21,0,0,,,,,2,,,76,0
624,note_on,3,0,0,,,,,2,,,76,96
634,note_off,10,0,0,,,,,2,,,76,0
636,note_on,2,0,0,,,,,2,,,74,96
646,note_off,10,0,0,,,,,2,,,74,0
648,note_on,2,0,0,,,,,2,,,73,96
658,note_off,10,0,0,,,,,2,,,73,0
660,note_on,2,0,0,,,,,2,,,71,96
670,note_off,10,0,0,,,,,2,,,71,0
672,note_on,2,0,0,,,,,2,,,69,96
693,note_off,21,0,0,,,,,2,,,69,0
696,note_on,3,0,0,,,,,2,,,69,96
717,note_off,21,0,0,,,,,2,,,69,0
720,note_on,3,0,0,,,,,2,,,69,96
730,note_off,10,0,0,,,,,2,,,69,0
732,note_on,2,0,0,,,,,2,,,69,96
742,note_off,10,0,0,,,,,2,,,69,0
744,note_off,2,0,0,,,,,0,,,79,0
744,note_off,0,0,0,,,,,1,,,79,0
744,note_on,0,0,0,,,,,2,,,71,96
754,note_off,10,0,0,,,,,2,,,71,0
756,note_on,2,0,0,,,,,2,,,73,96
766,note_off,10,0,0,,,,,2,,,73,0
768,note_on,2,0,0,,,,,0,,,78,96
768,note_on,0,0,0,,,,,1,,,78,96
768,note_on,0,0,0,,,,,2,,,74,96
768,note_on,0,0,0,,,,,3,,,62,96
810,note_off,42,0,0,,,,,3,,,62,0
816,note_on,6,0,0,,,,,3,,,62,96
858,note_off,42,0,0,,,,,3,,,62,0
864,note_on,6,0,0,,,,,3,,,62,96
916,note_off,52,0,0,,,,,3,,,62,0
924,note_on,8,0,0,,,,,3,,,64,96
934,note_off,10,0,0,,,,,3,,,64,0
936,note_off,2,0,0,,,,,0,,,78,0
936,note_off,0,0,0,,,,,1,,,78,0
936,note_off,0,0,0,,,,,2,,,74,0
936,note_on,0,0,0,,,,,3,,,66,96
946,note_off,10,0,0,,,,,3,,,66,0
948,note_on,2,0,0,,,,,3,,,67,96
958,note_off,10,0,0,,,,,3,,,67,0
960,note_on,2,0,0,,,,,0,,,76,96
960,note_on,0,0,0,,,,,1,,,76,96
960,note_on,0,0,0,,,,,2,,,73,96
960,note_on,0,0,0,,,,,3,,,69,96
981,note_off,21,0,0,,,,,3,,,69,0
984,note_on,3,0,0,,,,,3,,,69,96
1005,note_off,21,0,0,,,,,3,,,69,0
1008,note_on,3,0,0,,,,,3,,,69,96
1018,note_off,10,0,0,,,,,3,,,69,0
1020,note_on,2,0,0,,,,,3,,,67,96
1030,note_off,10,0,0,,,,,3,,,67,0
1032,note_on,2,0,0,,,,,3,,,66,96
1042,note_off,10,0,0,,,,,3,,,66,0
1044,note_off,2,0,0,,,,,0,,,76,0
1044,note_off,0,0,0,,,,,1,,,76,0
1044,note_off,0,0,0,,,,,2,,,73,0
1044,note_on,0,0,0,,,,,3,,,64,96
1054,note_off,10,0,0,,,,,3,,,64,0
1056,note_on,2,0,0,,,,,0,,,78,96
1056,note_on,0,0,0,,,,,1,,,78,96
1056,note_on,0,0,0,,,,,2,,,74,96
1056,note_on,0,0,0,,,,,3,,,62,96
1077,note_off,21,0,0,,,,,3,,,62,0
1080,note_on,3,0,0,,,,,3,,,62,96
1101,note_off,21,0,0,,,,,3,,,62,0
1104,note_on,3,0,0,,,,,3,,,62,96
1114,note_off,10,0,0,,,,,3,,,62,0
1116,note_on,2,0,0,,,,,3,,,64,96
1126,note_off,10,0,0,,,,,3,,,64,0
1128,note_on,2,0,0,,,,,3,,,66,96
1138,note_off,10,0,0,,,,,3,,,66,0
1140,note_off,2,0,0,,,,,0,,,78,0
1140,note_off,0,0,0,,,,,1,,,78,0
1140,note_off,0,0,0,,,,,2,,,74,0
1140,note_on,0,0,0,,,,,3,,,67,96
1150,note_off,10,0,0,,,,,3,,,67,0
1152,note_on,2,0,0,,,,,0,,,76,96
1152,note_on,0,0,0,,,,,1,,,76,96
1152,note_on,0,0,0,,,,,2,,,73,96
1152,note_on,0,0,0,,,,,3,,,69,96
1152,note_on,0,0,0,,,,,4,,,45,96
1194,note_off,42,0,0,,,,,0,,,76,0
1194,note_off,0,0,0,,,,,1,,,76,0
1194,note_off,0,0,0,,,,,4,,,45,0
1200,note_on,6,0,0,,,,,0,,,76,96
1200,note_on,0,0,0,,,,,1,,,76,96
1200,note_on,0,0,0,,,,,4,,,45,96
1242,note_off,42,0,0,,,,,0,,,76,0
1242,note_off,0,0,0,,,,,1,,,76,0
1242,note_off,0,0,0,,,,,4,,,45,0
1248,note_on,6,0,0,,,,,0,,,76,96
1248,note_on,0,0,0,,,,,1,,,76,96
1248,note_on,0,0,0,,,,,4,,,45,96
1300,note_off,52,0,0,,,,,0,,,76,0
1300,note_off,0,0,0,,,,,1,,,76,0
1300,note_off,0,0,0,,,,,4,,,45,0
1308,note_on,8,0,0,,,,,0,,,74,96
1308,note_on,0,0,0,,,,,1,,,74,96
1308,note_on,0,0,0,,,,,4,,,47,96
1318,note_off,10,0,0,,,,,0,,,74,0
1318,note_off,0,0,0,,,,,1,,,74,0
1318,note_off,0,0,0,,,,,4,,,47,0
1320,note_on,2,0,0,,,,,0,,,76,96
1320,note_on,0,0,0,,,,,1,,,76,96
1320,note_off,0,0,0,,,,,3,,,69,0
1320,note_on,0,0,0,,,,,4,,,49,96
1330,note_off,10,0,0,,,,,0,,,76,0
1330,note_off,0,0,0,,,,,1,,,76,0
1330,note_off,0,0,0,,,,,4,,,49,0
1332,note_on,2,0,0,,,,,0,,,78,96
1332,note_on,0,0,0,,,,,1,,,78,96
1332,note_on,0,0,0,,,,,4,,,50,96
1342,note_off,10,0,0,,,,,0,,,78,0
1342,note_off,0,0,0,,,,,1,,,78,0
1342,note_off,0,0,0,,,,,4,,,50,0
1344,note_on,2,0,0,,,,,0,,,79,96
1344,note_on,0,0,0,,,,,1,,,79,96
1344,note_on,0,0,0,,,,,3,,,67,96
1344,note_on,0,0,0,,,,,4,,,52,96
1365,note_off,21,0,0,,,,,0,,,79,0
1365,note_off,0,0,0,,,,,1,,,79,0
1365,note_off,0,0,0,,,,,4,,,52,0
1368,note_on,3,0,0,,,,,0,,,79,96
1368,note_on,0,0,0,,,,,1,,,79,96
1368,note_on,0,0,0,,,,,4,,,52,96
1389,note_off,21,0,0,,,,,0,,,79,0
1389,note_off,0,0,0,,,,,1,,,79,0
1389,note_off,0,0,0,,,,,4,,,52,0
1392,note_on,3,0,0,,,,,0,,,79,96
1392,note_on,0,0,0,,,,,1,,,79,96
1392,note_on,0,0,0,,,,,4,,,52,96
1402,note_off,10,0,0,,,,,0,,,79,0
1402,note_off,0,0,0,,,,,1,,,79,0
1402,note_off,0,0,0,,,,,4,,,52,0
1404,note_on,2,0,0,,,,,0,,,78,96
1404,note_on,0,0,0,,,,,1,,,78,96
1404,note_on,0,0,0,,,,,4,,,50,96
1414,note_off,10,0,0,,,,,0,,,78,0
1414,note_off,0,0,0,,,,,1,,,78,0
1414,note_off,0,0,0,,,,,4,,,50,0
1416,note_on,2,0,0,,,,,0,,,76,96
1416,note_on,0,0,0,,,,,1,,,76,96
1416,note_on,0,0,0,,,,,4,,,49,96
1426,note_off,10,0,0,,,,,0,,,76,0
1426,note_off,0,0,0,,,,,1,,,76,0
1426,note_off,0,0,0,,,,,4,,,49,0
1428,note_on,2,0,0,,,,,0,,,74,96
1428,note_on,0,0,0,,,,,1,,,74,96
1428,note_on,0,0,0,,,,,4,,,47,96
1438,note_off,10,0,0,,,,,0,,,74,0
1438,note_off,0,0,0,,,,,1,,,74,0
1438,note_off,0,0,0,,,,,4,,,47,0
1440,note_on,2,0,0,,,,,0,,,76,96
1440,note_on,0,0,0,,,,,1,,,76,96
1440,note_on,0,0,0,,,,,4,,,45,96
1461,note_off,21,0,0,,,,,0,,,76,0
1461,note_off,0,0,0,,,,,1,,,76,0
1461,note_off,0,0,0,,,,,4,,,45,0
1464,note_on,3,0,0,,,,,0,,,76,96
1464,note_on,0,0,0,,,,,1,,,76,96
1464,note_on,0,0,0,,,,,4,,,45,96
1485,note_off,21,0,0,,,,,0,,,76,0
1485,note_off,0,0,0,,,,,1,,,76,0
1485,note_off,0,0,0,,,,,4,,,45,0
1488,note_on,3,0,0,,,,,0,,,76,96
1488,note_on,0,0,0,,,,,1,,,76,96
1488,note_off,0,0,0,,,,,2,,,73,0
1488,note_on,0,0,0,,,,,4,,,45,96
1498,note_off,10,0,0,,,,,0,,,76,0
1498,note_off,0,0,0,,,,,1,,,76,0
1498,note_off,0,0,0,,,,,4,,,45,0
1500,note_on,2,0,0,,,,,0,,,73,96
1500,note_on,0,0,0,,,,,1,,,73,96
1500,note_on,0,0,0,,,,,4,,,45,96
1510,note_off,10,0,0,,,,,0,,,73,0
1510,note_off,0,0,0,,,,,1,,,73,0
1510,note_off,0,0,0,,,,,4,,,45,0
1512,note_on,2,0,0,,,,,0,,,74,96
1512,note_on,0,0,0,,,,,1,,,74,96
1512,note_off,0,0,0,,,,,3,,,67,0
1512,note_on,0,0,0,,,,,4,,,47,96
1522,note_off,10,0,0,,,,,0,,,74,0
1522,note_off,0,0,0,,,,,1,,,74,0
1522,note_off,0,0,0,,,,,4,,,47,0
1524,note_on,2,0,0,,,,,0,,,76,96
1524,note_on,0,0,0,,,,,1,,,76,96
1524,note_on,0,0,0,,,,,4,,,49,96
1534,note_off,10,0,0,,,,,0,,,76,0
1534,note_off,0,0,0,,,,,1,,,76,0
1534,note_off,0,0,0,,,,,4,,,49,0
1536,note_on,2,0,0,,,,,0,,,69,96
1536,note_on,0,0,0,,,,,1,,,69,96
1536,note_on,0,0,0,,,,,2,,,74,96
1536,note_on,0,0,0,,,,,3,,,66,96
1536,note_on,0,0,0,,,,,4,,,50,96
1557,note_off,21,0,0,,,,,0,,,69,0
1557,note_off,0,0,0,,,,,1,,,69,0
1557,note_off,0,0,0,,,,,2,,,74,0
1560,note_on,3,0,0,,,,,0,,,81,96
1560,note_on,0,0,0,,,,,1,,,81,96
1560,note_on,0,0,0,,,,,2,,,78,96
1570,note_off,10,0,0,,,,,0,,,81,0
1570,note_off,0,0,0,,,,,1,,,81,0
1570,note_off,0,0,0,,,,,2,,,78,0
1572,note_on,2,0,0,,,,,0,,,79,96
1572,note_on,0,0,0,,,,,1,,,79,96
1572,note_on,0,0,0,,,,,2,,,76,96
1582,note_off,10,0,0,,,,,0,,,79,0
1582,note_off,0,0,0,,,,,1,,,79,0
1582,note_off,0,0,0,,,,,2,,,76,0
1584,note_on,2,0,0,,,,,0,,,81,96
1584,note_on,0,0,0,,,,,1,,,81,96
1584,note_on,0,0,0,,,,,2,,,78,96
1605,note_off,21,0,0,,,,,0,,,81,0
1605,note_off,0,0,0,,,,,1,,,81,0
1605,note_off,0,0,0,,,,,2,,,78,0
1608,note_on,3,0,0,,,,,0,,,78,96
1608,note_on,0,0,0,,,,,1,,,78,96
1608,note_on,0,0,0,,,,,2,,,74,96
1620,note_off,12,0,0,,,,,3,,,66,0
1620,note_off,0,0,0,,,,,4,,,50,0
1629,note_off,9,0,0,,,,,0,,,78,0
1629,note_off,0,0,0,,,,,1,,,78,0
1629,note_off,0,0,0,,,,,2,,,74,0
1632,note_on,3,0,0,,,,,0,,,79,96
1632,note_on,0,0,0,,,,,1,,,79,96
1632,note_on,0,0,0,,,,,2,,,76,96
1653,note_off,21,0,0,,,,,0,,,79,0
1653,note_off,0,0,0,,,,,1,,,79,0
1653,note_off,0,0,0,,,,,2,,,76,0
1656,note_on,3,0,0,,,,,0,,,79,96
1656,note_on,0,0,0,,,,,1,,,79,96
1656,note_on,0,0,0,,,,,2,,,76,96
1666,note_off,10,0,0,,,,,0,,,79,0
1666,note_off,0,0,0,,,,,1,,,79,0
1666,note_off,0,0,0,,,,,2,,,76,0
1668,note_on,2,0,0,,,,,0,,,78,96
1668,note_on,0,0,0,,,,,1,,,78,96
1668,note_on,0,0,0,,,,,2,,,74,96
1678,note_off,10,0,0,,,,,0,,,78,0
1678,note_off,0,0,0,,,,,1,,,78,0
1678,note_off,0,0,0,,,,,2,,,74,0
1680,note_on,2,0,0,,,,,0,,,79,96
1680,note_on,0,0,0,,,,,1,,,79,96
1680,note_on,0,0,0,,,,,2,,,76,96
1701,note_off,21,0,0,,,,,0,,,79,0
1701,note_off,0,0,0,,,,,1,,,79,0
1701,note_off,0,0,0,,,,,2,,,76,0
1704,note_on,3,0,0,,,,,0,,,76,96
1704,note_on,0,0,0,,,,,1,,,76,96
1704,note_on,0,0,0,,,,,2,,,69,96
1725,note_off,21,0,0,,,,,0,,,76,0
1725,note_off,0,0,0,,,,,1,,,76,0
1725,note_off,0,0,0,,,,,2,,,69,0
1728,note_on,3,0,0,,,,,0,,,78,96
1728,note_on,0,0,0,,,,,1,,,78,96
1728,note_on,0,0,0,,,,,2,,,74,96
1752,note_on,24,0,0,,,,,3,,,69,96
1752,note_on,0,0,0,,,,,4,,,54,96
1762,note_off,10,0,0,,,,,3,,,69,0
1762,note_off,0,0,0,,,,,4,,,54,0
1764,note_on,2,0,0,,,,,3,,,68,96
1764,note_on,0,0,0,,,,,4,,,52,96
1774,note_off,10,0,0,,,,,3,,,68,0
1774,note_off,0,0,0,,,,,4,,,52,0
1776,note_on,2,0,0,,,,,3,,,69,96
1776,note_on,0,0,0,,,,,4,,,54,96
1797,note_off,21,0,0,,,,,3,,,69,0
1797,note_off,0,0,0,,,,,4,,,54,0
1800,note_on,3,0,0,,,,,3,,,66,96
1800,note_on,0,0,0,,,,,4,,,50,96
1812,note_off,12,0,0,,,,,0,,,78,0
1812,note_off,0,0,0,,,,,1,,,78,0
1812,note_off,0,0,0,,,,,2,,,74,0
1821,note_off,9,0,0,,,,,3,,,66,0
1821,note_off,0,0,0,,,,,4,,,50,0
1824,note_on,3,0,0,,,,,3,,,67,96
1824,note_on,0,0,0,,,,,4,,,52,96
1845,note_off,21,0,0,,,,,3,,,67,0
1845,note_off,0,0,0,,,,,4,,,52,0
1848,note_on,3,0,0,,,,,3,,,67,96
1848,note_on,0,0,0,,,,,4,,,52,96
1858,note_off,10,0,0,,,,,3,,,67,0
1858,note_off,0,0,0,,,,,4,,,52,0
1860,note_on,2,0,0,,,,,3,,,66,96
1860,note_on,0,0,0,,,,,4,,,50,96
1870,note_off,10,0,0,,,,,3,,,66,0
1870,note_off,0,0,0,,,,,4,,,50,0
1872,note_on,2,0,0,,,,,3,,,67,96
1872,note_on,0,0,0,,,,,4,,,52,96
1893,note_off,21,0,0,,,,,3,,,67,0
1893,note_off,0,0,0,,,,,4,,,52,0
1896,note_on,3,0,0,,,,,3,,,64,96
1896,note_on,0,0,0,,,,,4,,,45,96
1917,note_off,21,0,0,,,,,3,,,64,0
1917,note_off,0,0,0,,,,,4,,,45,0
1920,note_on,3,0,0,,,,,3,,,66,96
1920,note_on,0,0,0,,,,,4,,,50,96
1944,note_on,24,0,0,,,,,0,,,81,80
1944,note_on,0,0,0,,,,,1,,,81,80
1944,note_on,0,0,0,,,,,2,,,78,80
1954,note_off,10,0,0,,,,,0,,,81,0
1954,note_off,0,0,0,,,,,1,,,81,0
1954,note_off,0,0,0,,,,,2,,,78,0
1956,note_on,2,0,0,,,,,0,,,79,80
1956,note_on,0,0,0,,,,,1,,,79,80
1956,note_on,0,0,0,,,,,2,,,76,80
1966,note_off,10,0,0,,,,,0,,,79,0
1966,note_off,0,0,0,,,,,1,,,79,0
1966,note_off,0,0,0,,,,,2,,,76,0
1968,note_on,2,0,0,,,,,0,,,81,80
1968,note_on,0,0,0,,,,,1,,,81,80
1968,note_on,0,0,0,,,,,2,,,78,80
1989,note_off,21,0,0,,,,,0,,,81,0
1989,note_off,0,0,0,,,,,1,,,81,0
1989,note_off,0,0,0,,,,,2,,,78,0
1992,note_on,3,0,0,,,,,0,,,78,80
1992,note_on,0,0,0,,,,,1,,,78,80
1992,note_on,0,0,0,,,,,2,,,74,80
2004,note_off,12,0,0,,,,,3,,,66,0
2004,note_off,0,0,0,,,,,4,,,50,0
2013,note_off,9,0,0,,,,,0,,,78,0
2013,note_off,0,0,0,,,,,1,,,78,0
2013,note_off,0,0,0,,,,,2,,,74,0
2016,note_on,3,0,0,,,,,0,,,79,80
2016,note_on,0,0,0,,,,,1,,,79,80
2016,note_on,0,0,0,,,,,2,,,76,80
2037,note_off,21,0,0,,,,,0,,,79,0
2037,note_off,0,0,0,,,,,1,,,79,0
2037,note_off,0,0,0,,,,,2,,,76,0
2040,note_on,3,0,0,,,,,0,,,79,80
2040,note_on,0,0,0,,,,,1,,,79,80
2040,note_on,0,0,0,,,,,2,,,76,80
2050,note_off,10,0,0,,,,,0,,,79,0
2050,note_off,0,0,0,,,,,1,,,79,0
2050,note_off,0,0,0,,,,,2,,,76,0
2052,note_on,2,0,0,,,,,0,,,78,80
2052,note_on,0,0,0,,,,,1,,,78,80
2052,note_on,0,0,0,,,,,2,,,74,80
2062,note_off,10,0,0,,,,,0,,,78,0
2062,note_off,0,0,0,,,,,1,,,78,0
2062,note_off,0,0,0,,,,,2,,,74,0
2064,note_on,2,0,0,,,,,0,,,79,80
2064,note_on,0,0,0,,,,,1,,,79,80
2064,note_on,0,0,0,,,,,2,,,76,80
2085,note_off,21,0,0,,,,,0,,,79,0
2085,note_off,0,0,0,,,,,1,,,79,0
2085,note_off,0,0,0,,,,,2,,,76,0
2088,note_on,3,0,0,,,,,0,,,76,80
2088,note_on,0,0,0,,,,,1,,,76,80
2088,note_on,0,0,0,,,,,2,,,69,80
2109,note_off,21,0,0,,,,,0,,,76,0
2109,note_off,0,0,0,,,,,1,,,76,0
2109,note_off,0,0,0,,,,,2,,,69,0
2112,note_on,3,0,0,,,,,0,,,78,80
2112,note_on,0,0,0,,,,,1,,,78,80
2112,note_on,0,0,0,,,,,2,,,74,80
2136,note_on,24,0,0,,,,,3,,,69,80
2136,note_on,0,0,0,,,,,4,,,54,80
2146,note_off,10,0,0,,,,,3,,,69,0
2146,note_off,0,0,0,,,,,4,,,54,0
2148,note_on,2,0,0,,,,,3,,,67,80
2148,note_on,0,0,0,,,,,4,,,52,80
2158,note_off,10,0,0,,,,,3,,,67,0
2158,note_off,0,0,0,,,,,4,,,52,0
2160,note_on,2,0,0,,,,,3,,,69,80
2160,note_on,0,0,0,,,,,4,,,54,80
2181,note_off,21,0,0,,,,,3,,,69,0
2181,note_off,0,0,0,,,,,4,,,54,0
2184,note_on,3,0,0,,,,,3,,,66,80
2184,note_on,0,0,0,,,,,4,,,50,80
2196,note_off,12,0,0,,,,,0,,,78,0
2196,note_off,0,0,0,,,,,1,,,78,0
2196,note_off,0,0,0,,,,,2,,,74,0
2205,note_off,9,0,0,,,,,3,,,66,0
2205,note_off,0,0,0,,,,,4,,,50,0
2208,note_on,3,0,0,,,,,3,,,67,80
2208,note_on,0,0,0,,,,,4,,,52,80
2229,note_off,21,0,0,,,,,3,,,67,0
2229,note_off,0,0,0,,,,,4,,,52,0
2232,note_on,3,0,0,,,,,3,,,67,80
2232,note_on,0,0,0,,,,,4,,,52,80
2242,note_off,10,0,0,,,,,3,,,67,0
2242,note_off,0,0,0,,,,,4,,,52,0
2244,note_on,2,0,0,,,,,3,,,66,80
2244,note_on,0,0,0,,,,,4,,,50,80
2254,note_off,10,0,0,,,,,3,,,66,0
2254,note_off,0,0,0,,,,,4,,,50,0
2256,note_on,2,0,0,,,,,3,,,67,80
2256,note_on,0,0,0,,,,,4,,,52,80
2277,note_off,21,0,0,,,,,3,,,67,0
2277,note_off,0,0,0,,,,,4,,,52,0
2280,note_on,3,0,0,,,,,3,,,64,80
2280,note_on,0,0,0,,,,,4,,,45,80
2301,note_off,21,0,0,,,,,3,,,64,0
2301,note_off,0,0,0,,,,,4,,,45,0
2304,note_on,3,0,0,,,,,0,,,78,96
2304,note_on,0,0,0,,,,,1,,,78,96
2304,note_on,0,0,0,,,,,2,,,74,96
2304,note_on,0,0,0,,,,,3,,,66,96
2304,note_on,0,0,0,,,,,4,,,50,96
2325,note_off,21,0,0,,,,,3,,,66,0
2325,note_off,0,0,0,,,,,4,,,50,0
2328,note_on,3,0,0,,,,,3,,,69,96
2328,note_on,0,0,0,,,,,4,,,62,96
2346,note_off,18,0,0,,,,,0,,,78,0
2346,note_off,0,0,0,,,,,1,,,78,0
2346,note_off,0,0,0,,,,,2,,,74,0
2349,note_off,3,0,0,,,,,3,,,69,0
2349,note_off,0,0,0,,,,,4,,,62,0
2352,note_on,3,0,0,,,,,0,,,78,96
2352,note_on,0,0,0,,,,,1,,,78,96
2352,note_on,0,0,0,,,,,2,,,74,96
2352,note_on,0,0,0,,,,,3,,,66,96
2352,note_on,0,0,0,,,,,4,,,57,96
2373,note_off,21,0,0,,,,,3,,,66,0
2373,note_off,0,0,0,,,,,4,,,57,0
2376,note_on,3,0,0,,,,,3,,,62,96
2376,note_on,0,0,0,,,,,4,,,54,96
2394,note_off,18,0,0,,,,,0,,,78,0
2394,note_off,0,0,0,,,,,1,,,78,0
2394,note_off,0,0,0,,,,,2,,,74,0
2397,note_off,3,0,0,,,,,3,,,62,0
2397,note_off,0,0,0,,,,,4,,,54,0
2400,note_on,3,0,0,,,,,0,,,78,96
2400,note_on,0,0,0,,,,,1,,,78,96
2400,note_on,0,0,0,,,,,2,,,74,96
2400,note_on,0,0,0,,,,,3,,,57,96
2400,note_on,0,0,0,,,,,4,,,50,96
2421,note_off,21,0,0,,,,,3,,,57,0
2421,note_off,0,0,0,,,,,4,,,50,0
2424,note_on,3,0,0,,,,,3,,,69,96
2424,note_on,0,0,0,,,,,4,,,62,96
2445,note_off,21,0,0,,,,,3,,,69,0
2445,note_off,0,0,0,,,,,4,,,62,0
2448,note_on,3,0,0,,,,,3,,,66,96
2448,note_on,0,0,0,,,,,4,,,57,96
2452,note_off,4,0,0,,,,,0,,,78,0
