tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,data,program,channel,control,value,note,velocity
9950,note_on,,,,,0,0,0,,,,0,,,79,0
9960,note_on,,,,,10,0,0,,,,0,,,77,88
9960,note_on,,,,,0,0,0,,,,0,,,74,88
10064,note_on,,,,,104,0,0,,,,0,,,60,0
10070,note_on,,,,,6,0,0,,,,0,,,74,0
10070,note_on,,,,,0,0,0,,,,0,,,77,0
10080,note_on,,,,,10,0,0,,,,0,,,76,88
10080,note_on,,,,,0,0,0,,,,0,,,72,88
10080,note_on,,,,,0,0,0,,,,0,,,48,88
10300,note_on,,,,,220,0,0,,,,0,,,48,0
10300,note_on,,,,,0,0,0,,,,0,,,72,0
10300,note_on,,,,,0,0,0,,,,0,,,76,0
10320,note_on,,,,,20,0,0,,,,0,,,79,88
10320,note_on,,,,,0,0,0,,,,0,,,74,88
10324,note_on,,,,,4,0,0,,,,0,,,60,88
10430,note_on,,,,,106,0,0,,,,0,,,74,0
10430,note_on,,,,,0,0,0,,,,0,,,79,0
10440,note_on,,,,,10,0,0,,,,0,,,77,88
10440,note_on,,,,,0,0,0,,,,0,,,74,88
10544,note_on,,,,,104,0,0,,,,0,,,60,0
10550,note_on,,,,,6,0,0,,,,0,,,74,0
10550,note_on,,,,,0,0,0,,,,0,,,77,0
10560,note_on,,,,,10,0,0,,,,0,,,76,88
10560,note_on,,,,,0,0,0,,,,0,,,72,88
10560,note_on,,,,,0,0,0,,,,0,,,48,88
10780,note_on,,,,,220,0,0,,,,0,,,48,0
10780,note_on,,,,,0,0,0,,,,0,,,72,0
10780,note_on,,,,,0,0,0,,,,0,,,76,0
10800,note_on,,,,,20,0,0,,,,0,,,79,88
10800,note_on,,,,,0,0,0,,,,0,,,76,88
10804,note_on,,,,,4,0,0,,,,0,,,60,88
11020,note_on,,,,,216,0,0,,,,0,,,76,0
11020,note_on,,,,,0,0,0,,,,0,,,79,0
11024,note_on,,,,,4,0,0,,,,0,,,60,0
11040,note_on,,,,,16,0,0,,,,0,,,76,88
11040,note_on,,,,,0,0,0,,,,0,,,72,88
11040,note_on,,,,,0,0,0,,,,0,,,48,88
11260,note_on,,,,,220,0,0,,,,0,,,48,0
11260,note_on,,,,,0,0,0,,,,0,,,72,0
11260,note_on,,,,,0,0,0,,,,0,,,76,0
11280,note_on,,,,,20,0,0,,,,0,,,72,88
11280,note_on,,,,,0,0,0,,,,0,,,67,88
11284,note_on,,,,,4,0,0,,,,0,,,60,88
11500,note_on,,,,,216,0,0,,,,0,,,67,0
11500,note_on,,,,,0,0,0,,,,0,,,72,0
11504,note_on,,,,,4,0,0,,,,0,,,60,0
11520,note_on,,,,,16,0,0,,,,0,,,74,88
11520,note_on,,,,,0,0,0,,,,0,,,71,88
11520,note_on,,,,,0,0,0,,,,0,,,43,88
11961,note_on,,,,,441,0,0,,,,0,,,43,0
11961,note_on,,,,,0,0,0,,,,0,,,71,0
11961,note_on,,,,,0,0,0,,,,0,,,74,0
12480,note_on,,,,,519,0,0,,,,0,,,72,88
12480,note_on,,,,,0,0,0,,,,0,,,75,88
12480,note_on,,,,,0,0,0,,,,0,,,72,88
12628,note_on,,,,,148,0,0,,,,0,,,75,0
12628,note_on,,,,,0,0,0,,,,0,,,72,0
12632,note_on,,,,,4,0,0,,,,0,,,72,0
12720,note_on,,,,,88,0,0,,,,0,,,75,88
