tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,note,velocity,channel
7802,note_on,1,0,0,,,,,,67,127,0
7911,note_off,109,0,0,,,,,,67,127,0
7912,note_on,1,0,0,,,,,,72,127,0
8021,note_off,109,0,0,,,,,,72,127,0
8021,note_off,0,0,0,,,,,,84,127,0
8021,note_off,0,0,0,,,,,,75,127,0
8021,note_off,0,0,0,,,,,,79,127,0
8022,note_on,1,0,0,,,,,,48,127,0
8241,note_on,219,0,0,,,,,,75,127,0
8241,note_on,0,0,0,,,,,,72,127,0
8412,note_off,171,0,0,,,,,,48,127,0
8459,note_off,47,0,0,,,,,,72,127,0
8459,note_off,0,0,0,,,,,,75,127,0
8460,note_on,1,0,0,,,,,,55,127,0
8460,note_on,0,0,0,,,,,,71,127,0
8460,note_on,0,0,0,,,,,,74,127,0
8569,note_off,109,0,0,,,,,,74,127,0
8570,note_on,1,0,0,,,,,,75,127,0
8679,note_off,109,0,0,,,,,,75,127,0
8680,note_on,1,0,0,,,,,,43,127,0
8680,note_on,0,0,0,,,,,,77,127,0
8789,note_off,109,0,0,,,,,,77,127,0
8790,note_on,1,0,0,,,,,,74,127,0
8895,note_off,105,0,0,,,,,,55,127,0
8897,note_off,2,0,0,,,,,,43,127,0
8898,note_off,1,0,0,,,,,,74,127,0
8898,note_off,0,0,0,,,,,,71,127,0
8899,note_on,1,0,0,,,,,,75,127,0
8899,note_on,0,0,0,,,,,,72,127,0
9009,note_on,110,0,0,,,,,,48,127,0
9118,note_off,109,0,0,,,,,,48,127,0
9119,note_on,1,0,0,,,,,,51,127,0
9228,note_off,109,0,0,,,,,,51,127,0
9229,note_on,1,0,0,,,,,,55,127,0
9338,note_off,109,0,0,,,,,,55,127,0
9339,note_on,1,0,0,,,,,,60,127,0
9448,note_off,109,0,0,,,,,,60,127,0
9449,note_on,1,0,0,,,,,,63,127,0
9558,note_off,109,0,0,,,,,,63,127,0
9559,note_on,1,0,0,,,,,,67,127,0
9599,note_off,40,0,0,,,,,,72,127,0
9668,note_off,69,0,0,,,,,,67,127,0
9669,note_on,1,0,0,,,,,,72,127,0
9778,note_off,109,0,0,,,,,,72,127,0
9778,note_off,0,0,0,,,,,,75,127,0
9779,note_on,1,0,0,,,,,,48,127,0
9998,note_on,219,0,0,,,,,,84,127,0
9998,note_on,0,0,0,,,,,,75,127,0
10169,note_off,171,0,0,,,,,,48,127,0
10216,note_off,47,0,0,,,,,,75,127,0
10216,note_off,0,0,0,,,,,,84,127,0
10217,note_on,1,0,0,,,,,,55,127,0
10217,note_on,0,0,0,,,,,,74,127,0
10217,note_on,0,0,0,,,,,,83,127,0
10326,note_off,109,0,0,,,,,,74,127,0
10327,note_on,1,0,0,,,,,,75,127,0
10436,note_off,109,0,0,,,,,,75,127,0
10437,note_on,1,0,0,,,,,,43,127,0
10437,note_on,0,0,0,,,,,,77,127,0
10546,note_off,109,0,0,,,,,,77,127,0
10547,note_on,1,0,0,,,,,,74,127,0
10652,note_off,105,0,0,,,,,,55,127,0
10654,note_off,2,0,0,,,,,,43,127,0
10655,note_off,1,0,0,,,,,,74,127,0
10655,note_off,0,0,0,,,,,,83,127,0
10656,note_on,1,0,0,,,,,,84,127,0
10656,note_on,0,0,0,,,,,,75,127,0
10766,note_on,110,0,0,,,,,,48,127,0
10875,note_off,109,0,0,,,,,,48,127,0
10876,note_on,1,0,0,,,,,,51,127,0
10985,note_off,109,0,0,,,,,,51,127,0
10986,note_on,1,0,0,,,,,,55,127,0
11095,note_off,109,0,0,,,,,,55,127,0
11096,note_on,1,0,0,,,,,,60,127,0
11205,note_off,109,0,0,,,,,,60,127,0
11206,note_on,1,0,0,,,,,,63,127,0
11315,note_off,109,0,0,,,,,,63,127,0
11316,note_on,1,0,0,,,,,,67,127,0
11425,note_off,109,0,0,,,,,,67,127,0
11426,note_on,1,0,0,,,,,,72,127,0
11535,note_off,109,0,0,,,,,,72,127,0
11535,note_off,0,0,0,,,,,,75,127,0
11535,note_off,0,0,0,,,,,,84,127,0
11536,note_on,1,0,0,,,,,,48,127,0
11755,note_on,219,0,0,,,,,,75,127,0
11755,note_on,0,0,0,,,,,,72,127,0
11926,note_off,171,0,0,,,,,,48,127,0
11973,note_off,47,0,0,,,,,,72,127,0
11973,note_off,0,0,0,,,,,,75,127,0
11974,note_on,1,0,0,,,,,,55,127,0
11974,note_on,0,0,0,,,,,,71,127,0
11974,note_on,0,0,0,,,,,,74,127,0
12083,note_off,109,0,0,,,,,,74,127,0
12084,note_on,1,0,0,,,,,,75,127,0
12193,note_off,109,0,0,,,,,,75,127,0
12194,note_on,1,0,0,,,,,,43,127,0
12194,note_on,0,0,0,,,,,,77,127,0
12303,note_off,109,0,0,,,,,,77,127,0
12304,note_on,1,0,0,,,,,,74,127,0
12409,note_off,105,0,0,,,,,,55,127,0
12411,note_off,2,0,0,,,,,,43,127,0
12412,note_off,1,0,0,,,,,,74,127,0
12412,note_off,0,0,0,,,,,,71,127,0
12413,note_on,1,0,0,,,,,,72,127,0
12413,note_on,0,0,0,,,,,,75,127,0
12523,note_on,110,0,0,,,,,,48,127,0
12632,note_off,109,0,0,,,,,,48,127,0
12633,note_on,1,0,0,,,,,,51,127,0
12742,note_off,109,0,0,,,,,,51,127,0
12743,note_on,1,0,0,,,,,,55,127,0
12852,note_off,109,0,0,,,,,,55,127,0
12853,note_on,1,0,0,,,,,,60,127,0
12962,note_off,109,0,0,,,,,,60,127,0
12963,note_on,1,0,0,,,,,,63,127,0
13072,note_off,109,0,0,,,,,,63,127,0
13073,note_on,1,0,0,,,,,,67,127,0
13153,note_off,80,0,0,,,,,,72,127,0
13182,note_off,29,0,0,,,,,,67,127,0
13183,note_on,1,0,0,,,,,,72,127,0
13292,note_off,109,0,0,,,,,,72,127,0
13293,note_on,1,0,0,,,,,,48,127,0
13402,note_off,109,0,0,,,,,,75,127,0
13403,note_on,1,0,0,,,,,,79,127,0
13512,note_off,109,0,0,,,,,,79,127,0
13513,note_on,1,0,0,,,,,,75,127,0
13622,note_off,109,0,0,,,,,,75,127,0
