tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
21964,control_change,,,,,21,0,2,,,0,,,64,0
22048,note_off,,,,,88,0,1,,,0,57,64,,
22080,note_on,,,,,32,0,1,,,0,76,60,,
22088,note_off,,,,,8,0,1,,,0,78,64,,
22088,note_on,,,,,0,0,1,,,0,64,46,,
22088,note_on,,,,,0,0,1,,,0,68,42,,
22106,note_off,,,,,18,0,1,,,0,68,64,,
22127,note_off,,,,,21,0,1,,,0,76,64,,
22183,note_off,,,,,56,0,1,,,0,64,64,,
22194,note_on,,,,,11,0,1,,,0,59,54,,
22310,note_off,,,,,116,0,1,,,0,59,64,,
22310,note_on,,,,,0,0,1,,,0,56,60,,
22318,note_on,,,,,8,0,1,,,0,80,61,,
22324,note_on,,,,,6,0,1,,,0,71,46,,
22362,control_change,,,,,398,0,2,,,0,,,64,96
22383,control_change,,,,,21,0,2,,,0,,,64,127
22428,note_on,,,,,104,0,1,,,0,52,53,,
22433,note_off,,,,,5,0,1,,,0,56,64,,
22438,note_off,,,,,5,0,1,,,0,71,64,,
22549,note_on,,,,,111,0,1,,,0,61,53,,
22663,note_off,,,,,114,0,1,,,0,61,64,,
22668,note_off,,,,,5,0,1,,,0,52,64,,
22668,note_on,,,,,0,0,1,,,0,57,50,,
22715,note_off,,,,,47,0,1,,,0,80,64,,
22789,note_on,,,,,74,0,1,,,0,78,52,,
22796,note_off,,,,,7,0,1,,,0,57,64,,
22796,note_on,,,,,0,0,1,,,0,69,45,,
22796,note_on,,,,,0,0,1,,,0,63,45,,
22896,note_off,,,,,100,0,1,,,0,78,64,,
22905,note_off,,,,,9,0,1,,,0,69,64,,
22922,note_off,,,,,17,0,1,,,0,63,64,,
22922,note_on,,,,,0,0,1,,,0,59,45,,
22978,control_change,,,,,595,0,2,,,0,,,64,96
22998,control_change,,,,,20,0,2,,,0,,,64,0
23045,note_on,,,,,123,0,1,,,0,76,55,,
23052,note_off,,,,,7,0,1,,,0,59,64,,
23052,note_on,,,,,0,0,1,,,0,64,44,,
23138,note_off,,,,,86,0,1,,,0,76,64,,
23158,note_on,,,,,20,0,1,,,0,68,34,,
23225,note_off,,,,,67,0,1,,,0,64,64,,
23269,note_on,,,,,44,0,1,,,0,66,56,,
23276,note_on,,,,,7,0,1,,,0,56,35,,
23285,note_off,,,,,9,0,1,,,0,68,64,,
23359,note_off,,,,,74,0,1,,,0,66,64,,
23375,note_on,,,,,16,0,1,,,0,64,44,,
23435,note_off,,,,,60,0,1,,,0,64,64,,
23510,note_on,,,,,75,0,1,,,0,76,46,,
23510,note_on,,,,,0,0,1,,,0,57,50,,
23519,note_off,,,,,9,0,1,,,0,56,64,,
23533,note_off,,,,,14,0,1,,,0,57,64,,
23557,note_off,,,,,24,0,1,,,0,76,64,,
23613,note_on,,,,,56,0,1,,,0,66,42,,
23691,note_off,,,,,78,0,1,,,0,66,64,,
23731,note_on,,,,,40,0,1,,,0,64,46,,
23736,note_on,,,,,5,0,1,,,0,59,40,,
23752,note_off,,,,,16,0,1,,,0,59,64,,
23816,note_off,,,,,64,0,1,,,0,64,64,,
23840,note_on,,,,,24,0,1,,,0,63,52,,
23873,note_off,,,,,33,0,1,,,0,63,64,,
23966,note_on,,,,,93,0,1,,,0,64,57,,
23973,note_on,,,,,7,0,1,,,0,76,35,,
23979,note_on,,,,,6,0,1,,,0,74,45,,
24025,note_off,,,,,46,0,1,,,0,74,64,,
24043,note_off,,,,,18,0,1,,,0,76,64,,
24083,note_on,,,,,40,0,1,,,0,68,52,,
24160,note_off,,,,,77,0,1,,,0,64,64,,
24198,note_on,,,,,38,0,1,,,0,66,56,,
24204,note_on,,,,,6,0,1,,,0,56,43,,
24227,note_off,,,,,23,0,1,,,0,68,64,,
24302,note_off,,,,,75,0,1,,,0,66,64,,
24317,note_on,,,,,15,0,1,,,0,64,49,,
24364,note_off,,,,,47,0,1,,,0,64,64,,
24440,note_on,,,,,76,0,1,,,0,76,55,,
24456,note_on,,,,,16,0,1,,,0,57,36,,
24487,note_off,,,,,31,0,1,,,0,56,64,,
24524,note_off,,,,,37,0,1,,,0,76,64,,
24568,note_on,,,,,44,0,1,,,0,66,42,,
24674,note_off,,,,,0,0,1,,,0,57,64,,
24674,note_off,,,,,106,0,1,,,0,66,64,,
24687,note_on,,,,,13,0,1,,,0,64,46,,
24694,note_on,,,,,7,0,1,,,0,59,38,,
24772,note_off,,,,,78,0,1,,,0,64,64,,
24799,note_on,,,,,27,0,1,,,0,63,42,,
24863,note_off,,,,,64,0,1,,,0,63,64,,
24925,note_off,,,,,62,0,1,,,0,59,64,,
24933,note_on,,,,,8,0,1,,,0,64,46,,
24953,note_on,,,,,20,0,1,,,0,52,26,,
25052,note_off,,,,,99,0,1,,,0,64,64,,
25069,note_on,,,,,17,0,1,,,0,76,33,,
25163,note_off,,,,,94,0,1,,,0,76,64,,
25175,note_on,,,,,12,0,1,,,0,65,35,,
25281,note_off,,,,,106,0,1,,,0,52,64,,
25297,note_off,,,,,16,0,1,,,0,65,64,,
25303,note_on,,,,,6,0,1,,,0,74,46,,
25414,note_off,,,,,111,0,1,,,0,74,64,,
25425,note_on,,,,,11,0,1,,,0,64,29,,
