tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,key,control,value,channel,program,note,velocity
56180,control_change,40,0,9,,,,,,,7,80,7,,,
56180,control_change,20,0,6,,,,,,,7,27,11,,,
56180,control_change,0,0,6,,,,,,,7,26,11,,,
56180,control_change,0,0,10,,,,,,,7,33,8,,,
56200,control_change,20,0,4,,,,,,,7,89,12,,,
56220,control_change,0,0,12,,,,,,,7,72,10,,,
56220,control_change,40,0,12,,,,,,,7,71,10,,,
56240,control_change,40,0,4,,,,,,,7,90,12,,,
56240,control_change,60,0,10,,,,,,,7,31,8,,,
56240,control_change,60,0,6,,,,,,,7,25,11,,,
56240,control_change,80,0,8,,,,,,,7,84,6,,,
56280,control_change,40,0,4,,,,,,,7,92,12,,,
56280,control_change,40,0,8,,,,,,,7,86,6,,,
56285,note_off,125,0,1,,,,,,,,,2,,67,96
56285,note_off,125,0,2,,,,,,,,,1,,70,96
56300,control_change,20,0,8,,,,,,,7,87,6,,,
56300,control_change,20,0,4,,,,,,,7,93,12,,,
56314,note_off,134,0,9,,,,,,,,,7,,82,61
56320,note_off,160,0,3,,,,,,,,,0,,67,100
56320,note_off,100,0,12,,,,,,,,,10,,55,74
56320,note_off,20,0,4,,,,,,,,,12,,67,100
56320,note_on,35,0,2,,,,,,,,,1,,67,96
56320,note_on,0,0,4,,,,,,,,,12,,69,100
56320,note_off,20,0,8,,,,,,,,,6,,79,100
56320,note_on,0,0,8,,,,,,,,,6,,81,100
56320,note_on,35,0,1,,,,,,,,,2,,62,96
56320,note_on,0,0,5,,,,,,,,,3,,57,74
56320,note_off,640,0,5,,,,,,,,,3,,55,74
56320,note_on,0,0,3,,,,,,,,,0,,69,100
56320,note_on,0,0,12,,,,,,,,,10,,57,74
56330,note_on,16,0,9,,,,,,,,,7,,84,64
56340,control_change,20,0,3,,,,,,,7,78,0,,,
56340,control_change,20,0,2,,,,,,,7,78,1,,,
56340,control_change,20,0,12,,,,,,,7,74,10,,,
56340,control_change,0,0,12,,,,,,,7,75,10,,,
56340,control_change,20,0,4,,,,,,,7,94,12,,,
56360,control_change,120,0,10,,,,,,,7,33,8,,,
56360,control_change,120,0,6,,,,,,,7,26,11,,,
56360,control_change,20,0,4,,,,,,,7,96,12,,,
56380,control_change,40,0,12,,,,,,,7,76,10,,,
56380,control_change,20,0,10,,,,,,,7,36,8,,,
56380,control_change,20,0,6,,,,,,,7,29,11,,,
56400,control_change,20,0,6,,,,,,,7,30,11,,,
56400,control_change,720,0,7,,,,,,,7,73,4,,,
56400,control_change,80,0,8,,,,,,,7,88,6,,,
56400,control_change,20,0,10,,,,,,,7,38,8,,,
56400,control_change,80,0,5,,,,,,,7,90,3,,,
56420,control_change,60,0,4,,,,,,,7,97,12,,,
56420,control_change,40,0,12,,,,,,,7,78,10,,,
56445,note_off,125,0,1,,,,,,,,,2,,62,96
56445,note_off,105,0,2,,,,,,,,,1,,67,96
56460,control_change,60,0,7,,,,,,,7,74,4,,,
56460,control_change,15,0,2,,,,,,,7,80,1,,,
56460,control_change,40,0,12,,,,,,,7,79,10,,,
56460,control_change,0,0,12,,,,,,,7,81,10,,,
56460,control_change,60,0,5,,,,,,,7,91,3,,,
56460,control_change,120,0,3,,,,,,,7,80,0,,,
56480,control_change,80,0,10,,,,,,,7,40,8,,,
56480,note_off,20,0,3,,,,,,,,,0,,69,100
56480,note_on,0,0,12,,,,,,,,,10,,55,74
56480,note_off,0,0,12,,,,,,,,,10,,57,74
56480,control_change,20,0,12,,,,,,,7,82,10,,,
56480,control_change,0,0,10,,,,,,,7,41,8,,,
56480,note_off,80,0,8,,,,,,,,,6,,81,100
56480,control_change,80,0,6,,,,,,,7,32,11,,,
56480,note_off,0,0,4,,,,,,,,,12,,69,100
56480,note_on,35,0,1,,,,,,,,,2,,58,96
56480,control_change,60,0,4,,,,,,,7,99,12,,,
56480,note_on,0,0,5,,,,,,,,,3,,55,74
56480,note_off,20,0,5,,,,,,,,,3,,57,74
56480,note_on,0,0,4,,,,,,,,,12,,67,100
56480,note_on,0,0,8,,,,,,,,,6,,79,100
56480,note_on,20,0,2,,,,,,,,,1,,62,96
56480,control_change,150,0,9,,,,,,,7,81,7,,,
56480,control_change,0,0,6,,,,,,,7,33,11,,,
56480,note_on,0,0,3,,,,,,,,,0,,67,100
56488,note_off,8,0,9,,,,,,,,,7,,84,64
56488,note_on,0,0,9,,,,,,,,,7,,82,64
56500,control_change,20,0,3,,,,,,,7,81,0,,,
56500,control_change,20,0,4,,,,,,,7,100,12,,,
56500,control_change,20,0,12,,,,,,,7,84,10,,,
56500,control_change,20,0,10,,,,,,,7,44,8,,,
56500,control_change,0,0,10,,,,,,,7,45,8,,,
56500,control_change,0,0,9,,,,,,,7,83,7,,,
56500,control_change,12,0,9,,,,,,,7,84,7,,,
56500,control_change,20,0,6,,,,,,,7,35,11,,,
56500,control_change,0,0,6,,,,,,,7,36,11,,,
56500,control_change,20,0,2,,,,,,,7,81,1,,,
56520,control_change,20,0,12,,,,,,,7,85,10,,,
56520,control_change,20,0,3,,,,,,,7,82,0,,,
56520,control_change,20,0,2,,,,,,,7,82,1,,,
56540,control_change,20,0,12,,,,,,,7,87,10,,,
56540,control_change,40,0,6,,,,,,,7,37,11,,,
56540,control_change,40,0,10,,,,,,,7,47,8,,,
56560,control_change,60,0,4,,,,,,,7,102,12,,,
56560,control_change,100,0,7,,,,,,,7,76,4,,,
56560,control_change,20,0,6,,,,,,,7,39,11,,,
56560,control_change,40,0,2,,,,,,,7,84,1,,,
56560,control_change,20,0,12,,,,,,,7,88,10,,,
56560,control_change,40,0,3,,,,,,,7,84,0,,,
56560,control_change,80,0,5,,,,,,,7,94,3,,,
56560,control_change,20,0,10,,,,,,,7,49,8,,,
56580,control_change,20,0,4,,,,,,,7,103,12,,,
56580,control_change,20,0,6,,,,,,,7,40,11,,,
56580,control_change,20,0,10,,,,,,,7,50,8,,,
56580,control_change,20,0,12,,,,,,,7,89,10,,,
56600,control_change,20,0,12,,,,,,,7,91,10,,,
56600,control_change,20,0,4,,,,,,,7,105,12,,,
56600,control_change,40,0,2,,,,,,,7,85,1,,,
56600,control_change,40,0,5,,,,,,,7,95,3,,,
56600,control_change,40,0,3,,,,,,,7,85,0,,,
56600,control_change,100,0,9,,,,,,,7,86,7,,,
56600,control_change,40,0,7,,,,,,,7,77,4,,,
56605,note_off,125,0,1,,,,,,,,,2,,58,96
56605,note_off,5,0,2,,,,,,,,,1,,62,96
56620,control_change,20,0,5,,,,,,,7,96,3,,,
56620,control_change,40,0,6,,,,,,,7,42,11,,,
56620,control_change,20,0,12,,,,,,,7,92,10,,,
56620,control_change,20,0,7,,,,,,,7,78,4,,,
56620,control_change,40,0,10,,,,,,,7,53,8,,,
56640,note_off,20,0,5,,,,,,,,,3,,55,74
56640,note_on,0,0,5,,,,,,,,,3,,53,74
56640,note_off,160,0,8,,,,,,,,,6,,79,100
56640,control_change,20,0,6,,,,,,,7,43,11,,,
56640,note_on,0,0,12,,,,,,,,,10,,53,74
56640,note_off,20,0,12,,,,,,,,,10,,55,74
56640,note_on,0,0,8,,,,,,,,,6,,77,100
56640,note_on,40,0,9,,,,,,,,,7,,81,115
56640,note_off,0,0,3,,,,,,,,,0,,67,100
56640,note_on,0,0,3,,,,,,,,,0,,65,100
56640,control_change,40,0,4,,,,,,,7,106,12,,,
56640,note_off,0,0,4,,,,,,,,,12,,67,100
56640,note_on,0,0,4,,,,,,,,,12,,65,100
56640,note_off,20,0,7,,,,,,,,,4,,34,105
56640,note_on,0,0,7,,,,,,,,,4,,36,105
56640,control_change,20,0,10,,,,,,,7,54,8,,,
56640,control_change,40,0,3,,,,,,,7,87,0,,,
56640,control_change,35,0,2,,,,,,,7,87,1,,,
56646,note_off,6,0,9,,,,,,,,,7,,82,64
56660,control_change,20,0,10,,,,,,,7,58,8,,,
56660,control_change,20,0,12,,,,,,,7,94,10,,,
56660,control_change,0,0,6,,,,,,,7,45,11,,,
56660,control_change,20,0,6,,,,,,,7,46,11,,,
56660,control_change,20,0,5,,,,,,,7,99,3,,,
56660,control_change,14,0,9,,,,,,,7,87,7,,,
56660,control_change,0,0,10,,,,,,,7,57,8,,,
56660,control_change,20,0,7,,,,,,,7,80,4,,,
56680,control_change,40,0,3,,,,,,,7,88,0,,,
56680,control_change,20,0,5,,,,,,,7,100,3,,,
56680,control_change,20,0,7,,,,,,,7,81,4,,,
56680,control_change,20,0,6,,,,,,,7,48,11,,,
56680,control_change,40,0,2,,,,,,,7,88,1,,,
56680,control_change,20,0,10,,,,,,,7,60,8,,,
56700,control_change,20,0,6,,,,,,,7,49,11,,,
56700,control_change,60,0,4,,,,,,,7,107,12,,,
56700,control_change,20,0,10,,,,,,,7,62,8,,,
56720,control_change,60,0,12,,,,,,,7,95,10,,,
56720,control_change,60,0,9,,,,,,,7,88,7,,,
56740,control_change,40,0,10,,,,,,,7,63,8,,,
56740,control_change,20,0,9,,,,,,,7,90,7,,,
56740,control_change,40,0,6,,,,,,,7,50,11,,,
56760,control_change,20,0,6,,,,,,,7,52,11,,,
56760,control_change,20,0,10,,,,,,,7,65,8,,,
56760,control_change,80,0,3,,,,,,,7,90,0,,,
56760,control_change,40,0,12,,,,,,,7,97,10,,,
56760,control_change,80,0,5,,,,,,,7,102,3,,,
56760,control_change,80,0,7,,,,,,,7,83,4,,,
56760,control_change,80,0,2,,,,,,,7,90,1,,,
56780,control_change,20,0,6,,,,,,,7,53,11,,,
56780,control_change,40,0,9,,,,,,,7,91,7,,,
