tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity,pitch
55488,note_on,,,,,128,0,12,,,,,11,,,54,79,
55504,note_on,,,,,64,0,11,,,,,10,,,62,24,
55504,note_on,,,,,64,0,3,,,,,2,,,74,24,
55504,note_on,,,,,0,0,11,,,,,10,,,60,14,
55504,note_on,,,,,0,0,3,,,,,2,,,72,14,
55536,note_off,,,,,48,0,12,,,,,11,,,52,0,
55664,note_off,,,,,0,0,11,,,,,10,,,60,0,
55664,note_off,,,,,160,0,11,,,,,10,,,62,0,
55664,note_off,,,,,160,0,3,,,,,2,,,74,0,
55664,note_off,,,,,0,0,3,,,,,2,,,72,0,
55680,note_on,,,,,144,0,12,,,,,11,,,55,82,
55696,note_on,,,,,768,0,13,,,,,12,,,31,44,
55736,note_off,,,,,56,0,12,,,,,11,,,54,0,
55888,note_on,,,,,0,0,3,,,,,2,,,71,14,
55888,note_on,,,,,224,0,11,,,,,10,,,62,24,
55888,note_on,,,,,224,0,3,,,,,2,,,74,24,
55888,note_on,,,,,0,0,11,,,,,10,,,59,14,
56064,note_on,,,,,328,0,12,,,,,11,,,50,75,
56080,note_off,,,,,384,0,13,,,,,12,,,31,0,
56112,note_off,,,,,48,0,12,,,,,11,,,55,0,
56208,note_off,,,,,320,0,3,,,,,2,,,74,0,
56208,note_off,,,,,0,0,3,,,,,2,,,71,0,
56208,note_off,,,,,0,0,11,,,,,10,,,59,0,
56208,note_off,,,,,320,0,11,,,,,10,,,62,0,
56272,note_on,,,,,64,0,3,,,,,2,,,74,24,
56272,note_on,,,,,0,0,3,,,,,2,,,71,14,
56272,note_on,,,,,0,0,11,,,,,10,,,59,14,
56272,note_on,,,,,64,0,11,,,,,10,,,62,24,
56592,note_off,,,,,0,0,11,,,,,10,,,59,0,
56592,note_off,,,,,320,0,11,,,,,10,,,62,0,
56592,note_off,,,,,320,0,3,,,,,2,,,74,0,
56592,note_off,,,,,0,0,3,,,,,2,,,71,0,
56656,note_on,,,,,0,0,11,,,,,10,,,59,14,
56656,note_on,,,,,64,0,11,,,,,10,,,62,24,
56656,note_on,,,,,64,0,3,,,,,2,,,74,24,
56656,note_on,,,,,0,0,3,,,,,2,,,71,14,
56816,note_off,,,,,0,0,11,,,,,10,,,59,0,
56816,note_off,,,,,160,0,3,,,,,2,,,74,0,
56816,note_off,,,,,0,0,3,,,,,2,,,71,0,
56816,note_off,,,,,160,0,11,,,,,10,,,62,0,
56832,note_on,,,,,0,0,12,,,,,11,,,55,82,
56832,control_change,,,,,720,0,12,,,11,31,11,,,,,
56848,note_off,,,,,16,0,12,,,,,11,,,50,0,
56848,note_on,,,,,768,0,13,,,,,12,,,43,44,
56856,control_change,,,,,8,0,12,,,11,32,11,,,,,
56872,control_change,,,,,16,0,12,,,11,33,11,,,,,
56888,control_change,,,,,16,0,12,,,11,34,11,,,,,
56904,control_change,,,,,16,0,12,,,11,35,11,,,,,
56920,control_change,,,,,16,0,12,,,11,36,11,,,,,
56936,control_change,,,,,16,0,12,,,11,37,11,,,,,
56952,control_change,,,,,16,0,12,,,11,38,11,,,,,
56976,control_change,,,,,24,0,12,,,11,39,11,,,,,
56992,control_change,,,,,16,0,12,,,11,40,11,,,,,
57008,control_change,,,,,16,0,12,,,11,41,11,,,,,
57024,control_change,,,,,16,0,12,,,11,42,11,,,,,
57040,control_change,,,,,16,0,12,,,11,43,11,,,,,
57040,note_on,,,,,224,0,3,,,,,2,,,74,24,
57040,note_on,,,,,0,0,3,,,,,2,,,71,14,
57040,note_on,,,,,224,0,11,,,,,10,,,62,24,
57040,note_on,,,,,0,0,11,,,,,10,,,59,14,
57056,control_change,,,,,16,0,12,,,11,44,11,,,,,
57072,control_change,,,,,16,0,12,,,11,45,11,,,,,
57096,control_change,,,,,24,0,12,,,11,46,11,,,,,
57112,control_change,,,,,16,0,12,,,11,47,11,,,,,
57128,control_change,,,,,16,0,12,,,11,48,11,,,,,
57144,control_change,,,,,16,0,12,,,11,49,11,,,,,
57160,control_change,,,,,16,0,12,,,11,50,11,,,,,
57176,control_change,,,,,16,0,12,,,11,51,11,,,,,
57192,control_change,,,,,16,0,12,,,11,52,11,,,,,
57208,control_change,,,,,16,0,12,,,11,53,11,,,,,
57216,note_on,,,,,0,0,12,,,,,11,,,50,73,
57216,control_change,,,,,8,0,12,,,11,54,11,,,,,
57232,control_change,,,,,16,0,12,,,11,55,11,,,,,
57232,note_off,,,,,384,0,13,,,,,12,,,43,0,
57248,control_change,,,,,16,0,12,,,11,54,11,,,,,
57256,control_change,,,,,8,0,12,,,11,53,11,,,,,
57264,note_off,,,,,8,0,12,,,,,11,,,55,0,
57272,control_change,,,,,8,0,12,,,11,52,11,,,,,
57280,control_change,,,,,8,0,12,,,11,51,11,,,,,
57296,control_change,,,,,16,0,12,,,11,50,11,,,,,
57312,control_change,,,,,16,0,12,,,11,49,11,,,,,
57328,control_change,,,,,16,0,12,,,11,48,11,,,,,
57360,note_off,,,,,0,0,11,,,,,10,,,59,0,
57360,note_off,,,,,320,0,11,,,,,10,,,62,0,
57360,note_off,,,,,0,0,3,,,,,2,,,71,0,
57360,note_off,,,,,320,0,3,,,,,2,,,74,0,
57368,control_change,,,,,40,0,12,,,11,47,11,,,,,
57384,control_change,,,,,16,0,12,,,11,48,11,,,,,
57416,control_change,,,,,32,0,12,,,11,49,11,,,,,
57424,note_on,,,,,0,0,3,,,,,2,,,71,14,
57424,note_on,,,,,64,0,3,,,,,2,,,74,24,
57424,note_on,,,,,64,0,11,,,,,10,,,62,24,
57424,note_on,,,,,0,0,11,,,,,10,,,59,14,
57440,control_change,,,,,24,0,12,,,11,50,11,,,,,
57456,control_change,,,,,16,0,12,,,11,51,11,,,,,
57464,control_change,,,,,8,0,12,,,11,52,11,,,,,
57480,control_change,,,,,16,0,12,,,11,53,11,,,,,
57488,control_change,,,,,8,0,12,,,11,54,11,,,,,
57504,control_change,,,,,16,0,12,,,11,55,11,,,,,
57512,control_change,,,,,8,0,12,,,11,56,11,,,,,
57528,control_change,,,,,16,0,12,,,11,57,11,,,,,
57536,control_change,,,,,8,0,12,,,11,58,11,,,,,
57544,control_change,,,,,8,0,12,,,11,59,11,,,,,
57560,control_change,,,,,16,0,12,,,11,60,11,,,,,
57576,control_change,,,,,16,0,12,,,11,61,11,,,,,
57584,control_change,,,,,8,0,12,,,11,62,11,,,,,
57608,control_change,,,,,24,0,12,,,11,63,11,,,,,
57696,control_change,,,,,88,0,12,,,11,62,11,,,,,
57712,control_change,,,,,16,0,12,,,11,61,11,,,,,
57728,control_change,,,,,16,0,12,,,11,60,11,,,,,
