tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
146880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,41
146880,control_change,600,0,2,,,,,,,,,,,,,,,0,64,0,,
146954,control_change,74,0,2,,,,,,,,,,,,,,,0,64,127,,
147120,note_on,0,0,2,,,,,,,,,,,,,,,0,,,48,27
147120,note_on,166,0,2,,,,,,,,,,,,,,,0,,,36,0
147360,note_on,0,0,2,,,,,,,,,,,,,,,0,,,60,29
147360,note_on,240,0,2,,,,,,,,,,,,,,,0,,,48,0
147600,set_tempo,720,1,0,,,,,,,,,,,,1278500,,,,,,,
147600,note_on,0,0,2,,,,,,,,,,,,,,,0,,,64,30
147600,note_on,240,0,2,,,,,,,,,,,,,,,0,,,60,0
147720,note_on,120,0,2,,,,,,,,,,,,,,,0,,,64,0
147840,set_tempo,240,1,0,,,,,,,,,,,,1327140,,,,,,,
147854,control_change,134,0,2,,,,,,,,,,,,,,,0,64,0,,
147960,note_on,106,0,2,,,,,,,,,,,,,,,0,,,36,30
147960,set_tempo,120,1,0,,,,,,,,,,,,1341082,,,,,,,
148020,note_on,60,0,2,,,,,,,,,,,,,,,0,,,36,0
148040,set_tempo,80,1,0,,,,,,,,,,,,1355626,,,,,,,
148080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
148080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,36
148080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,36
148080,note_on,60,0,2,,,,,,,,,,,,,,,0,,,38,30
148080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,84,44
148080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,0
148080,note_on,1200,0,1,,,,,,,,,,,,,,,0,,,79,0
148120,set_tempo,80,1,0,,,,,,,,,,,,1370489,,,,,,,
148140,note_on,60,0,2,,,,,,,,,,,,,,,0,,,38,0
148200,note_on,60,0,2,,,,,,,,,,,,,,,0,,,40,30
148200,set_tempo,80,1,0,,,,,,,,,,,,1385361,,,,,,,
148260,note_on,60,0,2,,,,,,,,,,,,,,,0,,,40,0
148280,set_tempo,80,1,0,,,,,,,,,,,,1400887,,,,,,,
148320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
148320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
148320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,41
148320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,41
148320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,83,49
148320,note_on,60,0,2,,,,,,,,,,,,,,,0,,,29,31
148320,set_tempo,40,1,0,,,,,,,,,,,,1232792,,,,,,,
148320,note_on,240,0,1,,,,,,,,,,,,,,,0,,,84,0
148394,control_change,74,0,2,,,,,,,,,,,,,,,0,64,127,,
148560,note_on,166,0,2,,,,,,,,,,,,,,,0,,,29,0
148560,note_on,0,0,2,,,,,,,,,,,,,,,0,,,41,27
148680,note_on,0,0,1,,,,,,,,,,,,,,,0,,,81,49
148680,note_on,360,0,1,,,,,,,,,,,,,,,0,,,83,0
