tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity
13392,note_off,,,,,192,0,1,,,0,70,64
13440,note_on,,,,,0,0,2,,,1,70,80
13440,note_on,,,,,0,0,2,,,1,58,80
13440,note_on,,,,,0,0,2,,,1,58,80
13440,note_on,,,,,48,0,2,,,1,70,80
13440,note_on,,,,,48,0,1,,,0,70,80
13728,note_off,,,,,288,0,1,,,0,70,64
13800,note_on,,,,,72,0,1,,,0,70,80
13896,note_off,,,,,96,0,1,,,0,70,64
13920,note_on,,,,,24,0,1,,,0,70,80
14016,note_off,,,,,576,0,2,,,1,70,64
14016,note_off,,,,,0,0,2,,,1,58,64
14160,note_on,,,,,144,0,2,,,1,56,80
14160,note_on,,,,,0,0,2,,,1,68,80
14208,note_off,,,,,288,0,1,,,0,70,64
14208,note_off,,,,,48,0,2,,,1,58,64
14208,note_off,,,,,0,0,2,,,1,70,64
14280,note_on,,,,,72,0,1,,,0,68,80
14352,note_off,,,,,144,0,2,,,1,68,64
14352,note_off,,,,,0,0,2,,,1,56,64
14376,note_off,,,,,96,0,1,,,0,68,64
14400,note_on,,,,,48,0,2,,,1,70,80
14400,note_on,,,,,0,0,2,,,1,56,80
14400,note_on,,,,,0,0,2,,,1,58,80
14400,note_on,,,,,0,0,2,,,1,68,80
14400,note_on,,,,,24,0,1,,,0,68,80
14592,note_off,,,,,192,0,1,,,0,68,64
14592,note_off,,,,,192,0,2,,,1,68,64
14592,note_off,,,,,0,0,2,,,1,56,64
14640,note_on,,,,,48,0,1,,,0,66,80
14640,note_on,,,,,48,0,2,,,1,54,80
14640,note_on,,,,,0,0,2,,,1,66,80
14976,note_off,,,,,0,0,2,,,1,70,64
14976,note_off,,,,,336,0,2,,,1,58,64
15024,note_off,,,,,48,0,2,,,1,66,64
15024,note_off,,,,,384,0,1,,,0,66,64
15024,note_off,,,,,0,0,2,,,1,54,64
15120,note_on,,,,,96,0,1,,,0,66,80
15120,note_on,,,,,0,0,2,,,1,66,80
15120,note_on,,,,,0,0,2,,,1,70,80
15120,note_on,,,,,0,0,2,,,1,54,80
15120,note_on,,,,,96,0,2,,,1,58,80
15312,note_off,,,,,192,0,2,,,1,66,64
15312,note_off,,,,,0,0,2,,,1,70,64
15312,note_off,,,,,0,0,2,,,1,54,64
15312,note_off,,,,,192,0,1,,,0,66,64
15312,note_off,,,,,0,0,2,,,1,58,64
15360,note_on,,,,,0,0,2,,,1,59,80
15360,note_on,,,,,0,0,2,,,1,49,80
15360,note_on,,,,,0,0,2,,,1,56,80
15360,note_on,,,,,48,0,2,,,1,71,80
15360,note_on,,,,,0,0,2,,,1,66,80
15360,note_on,,,,,48,0,1,,,0,71,80
15552,note_off,,,,,192,0,2,,,1,66,64
15600,note_on,,,,,48,0,2,,,1,65,80
15648,note_off,,,,,288,0,1,,,0,71,64
15696,note_off,,,,,96,0,2,,,1,65,64
15720,note_on,,,,,72,0,1,,,0,71,80
15720,note_on,,,,,24,0,2,,,1,63,80
15816,note_off,,,,,96,0,1,,,0,71,64
15816,note_off,,,,,96,0,2,,,1,63,64
15840,note_on,,,,,24,0,1,,,0,71,80
15840,note_on,,,,,24,0,2,,,1,65,80
16128,note_off,,,,,288,0,1,,,0,71,64
16128,note_off,,,,,288,0,2,,,1,65,64
16128,note_off,,,,,0,0,2,,,1,49,64
16128,note_off,,,,,0,0,2,,,1,56,64
16128,note_off,,,,,0,0,2,,,1,71,64
16128,note_off,,,,,0,0,2,,,1,59,64
16200,note_on,,,,,72,0,1,,,0,73,80
16200,note_on,,,,,72,0,2,,,1,68,80
16296,note_off,,,,,96,0,2,,,1,68,64
16296,note_off,,,,,96,0,1,,,0,73,64
16320,note_on,,,,,24,0,2,,,1,66,80
16320,note_on,,,,,0,0,2,,,1,58,80
16320,note_on,,,,,0,0,2,,,1,70,80
16320,note_on,,,,,0,0,2,,,1,54,80
16320,note_on,,,,,24,0,1,,,0,70,80
16608,note_off,,,,,0,0,2,,,1,58,64
16608,note_off,,,,,0,0,2,,,1,70,64
16608,note_off,,,,,288,0,2,,,1,54,64
16608,note_off,,,,,0,0,2,,,1,66,64
16704,note_off,,,,,384,0,1,,,0,70,64
16740,note_on,,,,,132,0,2,,,1,73,80
16740,note_on,,,,,0,0,2,,,1,58,80
16740,note_on,,,,,0,0,2,,,1,70,80
16740,note_on,,,,,0,0,2,,,1,61,80
16788,note_off,,,,,0,0,2,,,1,70,64
16788,note_off,,,,,48,0,2,,,1,61,64
16788,note_off,,,,,0,0,2,,,1,73,64
16788,note_off,,,,,0,0,2,,,1,58,64
16800,note_on,,,,,0,0,2,,,1,58,80
16800,note_on,,,,,0,0,2,,,1,54,80
16800,note_on,,,,,12,0,2,,,1,70,80
16800,note_on,,,,,0,0,2,,,1,66,80
16992,note_off,,,,,192,0,2,,,1,54,64
16992,note_off,,,,,0,0,2,,,1,58,64
16992,note_off,,,,,0,0,2,,,1,66,64
16992,note_off,,,,,0,0,2,,,1,70,64
