tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
152760,control_change,120,0,2,,,,,,,,,,,,,,,0,64,127,,
153000,note_on,240,0,2,,,,,,,,,,,,,,,0,,,55,0
153000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,80
153000,note_on,0,0,2,,,,,,,,,,,,,,,0,,,43,0
153000,note_on,0,0,2,,,,,,,,,,,,,,,0,,,31,66
153000,note_on,0,0,2,,,,,,,,,,,,,,,0,,,43,78
153000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,89,80
153000,set_tempo,360,1,0,,,,,,,,,,,,571429,,,,,,,
153000,note_on,360,0,1,,,,,,,,,,,,,,,0,,,79,0
153000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,71,0
153000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,67,0
153000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,0
153000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,83,80
153000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,91,96
153090,note_on,90,0,1,,,,,,,,,,,,,,,0,,,91,0
153090,note_on,0,0,1,,,,,,,,,,,,,,,0,,,83,0
153090,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
153090,note_on,0,0,1,,,,,,,,,,,,,,,0,,,89,0
153090,note_on,90,0,2,,,,,,,,,,,,,,,0,,,43,0
153090,note_on,0,0,2,,,,,,,,,,,,,,,0,,,31,0
153120,note_on,30,0,2,,,,,,,,,,,,,,,0,,,31,77
153120,note_on,0,0,1,,,,,,,,,,,,,,,0,,,89,86
153120,note_on,0,0,2,,,,,,,,,,,,,,,0,,,43,92
153120,note_on,0,0,1,,,,,,,,,,,,,,,0,,,91,103
153120,note_on,0,0,1,,,,,,,,,,,,,,,0,,,83,86
153120,set_tempo,120,1,0,,,,,,,,,,,,800000,,,,,,,
153120,note_on,30,0,1,,,,,,,,,,,,,,,0,,,79,86
153309,control_change,189,0,2,,,,,,,,,,,,,,,0,64,0,,
153600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,83,0
153600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,0
153600,note_on,480,0,1,,,,,,,,,,,,,,,0,,,89,0
