tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,control,value,channel,program,data,note,velocity,pitch
7948,note_on,,3,0,8,,,,,,,,,7,,,80,0,
7950,control_change,,4,0,4,,,,,,,11,92,3,,,,,
7950,note_on,,3,0,9,,,,,,,,,8,,,68,0,
7952,control_change,,4,0,5,,,,,,,11,92,4,,,,,
7954,control_change,,4,0,4,,,,,,,11,91,3,,,,,
7956,control_change,,4,0,5,,,,,,,11,91,4,,,,,
7958,control_change,,4,0,4,,,,,,,11,90,3,,,,,
7960,control_change,,4,0,5,,,,,,,11,90,4,,,,,
7962,control_change,,4,0,4,,,,,,,11,89,3,,,,,
7964,control_change,,4,0,5,,,,,,,11,89,4,,,,,
7966,control_change,,4,0,4,,,,,,,11,88,3,,,,,
7968,note_on,,96,0,12,,,,,,,,,11,,,44,39,
7968,control_change,,4,0,5,,,,,,,11,88,4,,,,,
7969,note_on,,21,0,8,,,,,,,,,7,,,76,62,
7969,note_on,,96,0,13,,,,,,,,,12,,,32,39,
7970,note_on,,0,0,4,,,,,,,,,3,,,63,0,
7970,note_on,,0,0,4,,,,,,,,,3,,,64,19,
7970,note_on,,0,0,4,,,,,,,,,3,,,56,9,
7970,control_change,,0,0,4,,,,,,,11,87,3,,,,,
7970,control_change,,96,0,2,,,,,,,11,64,1,,,,,
7970,note_on,,0,0,2,,,,,,,,,1,,,71,60,
7970,set_tempo,845070,144,1,0,,,,,,,,,,,,,,
7970,note_on,,4,0,4,,,,,,,,,3,,,57,0,
7970,note_on,,0,0,3,,,,,,,,,2,,,71,60,
7970,control_change,,96,0,3,,,,,,,11,64,2,,,,,
7971,control_change,,96,0,1,,,,,,,11,64,0,,,,,
7971,note_on,,0,0,1,,,,,,,,,0,,,83,60,
7971,note_on,,21,0,9,,,,,,,,,8,,,64,62,
7972,note_on,,3,0,8,,,,,,,,,7,,,78,0,
7972,note_on,,0,0,5,,,,,,,,,4,,,59,34,
7972,note_on,,0,0,5,,,,,,,,,4,,,68,44,
7972,note_on,,0,0,5,,,,,,,,,4,,,66,0,
7972,note_on,,4,0,5,,,,,,,,,4,,,59,0,
7972,control_change,,2,0,2,,,,,,,11,65,1,,,,,
7972,note_on,,192,0,11,,,,,,,,,10,,,56,39,
7972,control_change,,0,0,5,,,,,,,11,87,4,,,,,
7972,control_change,,2,0,3,,,,,,,11,65,2,,,,,
7973,control_change,,1,0,2,,,,,,,11,66,1,,,,,
7973,control_change,,2,0,1,,,,,,,11,65,0,,,,,
7973,control_change,,1,0,3,,,,,,,11,66,2,,,,,
7974,control_change,,1,0,1,,,,,,,11,66,0,,,,,
7974,note_on,,3,0,9,,,,,,,,,8,,,66,0,
7974,control_change,,4,0,4,,,,,,,11,86,3,,,,,
7975,control_change,,2,0,3,,,,,,,11,67,2,,,,,
7975,control_change,,2,0,2,,,,,,,11,67,1,,,,,
7976,control_change,,4,0,5,,,,,,,11,86,4,,,,,
7976,control_change,,1,0,3,,,,,,,11,68,2,,,,,
7976,control_change,,2,0,1,,,,,,,11,67,0,,,,,
7976,control_change,,1,0,2,,,,,,,11,68,1,,,,,
7977,control_change,,1,0,1,,,,,,,11,68,0,,,,,
7978,control_change,,2,0,2,,,,,,,11,69,1,,,,,
7978,control_change,,2,0,3,,,,,,,11,69,2,,,,,
7978,control_change,,4,0,4,,,,,,,11,85,3,,,,,
7979,control_change,,1,0,2,,,,,,,11,70,1,,,,,
7979,control_change,,2,0,1,,,,,,,11,69,0,,,,,
7979,control_change,,1,0,3,,,,,,,11,70,2,,,,,
7980,control_change,,1,0,1,,,,,,,11,70,0,,,,,
7980,control_change,,4,0,5,,,,,,,11,85,4,,,,,
7981,control_change,,2,0,2,,,,,,,11,71,1,,,,,
7981,control_change,,2,0,3,,,,,,,11,71,2,,,,,
7982,control_change,,4,0,4,,,,,,,11,84,3,,,,,
7982,control_change,,1,0,3,,,,,,,11,72,2,,,,,
7982,control_change,,2,0,1,,,,,,,11,71,0,,,,,
7982,control_change,,1,0,2,,,,,,,11,72,1,,,,,
7983,control_change,,1,0,1,,,,,,,11,72,0,,,,,
7984,control_change,,2,0,3,,,,,,,11,73,2,,,,,
7984,control_change,,4,0,5,,,,,,,11,84,4,,,,,
7984,control_change,,2,0,2,,,,,,,11,73,1,,,,,
7985,control_change,,1,0,3,,,,,,,11,74,2,,,,,
7985,control_change,,1,0,2,,,,,,,11,74,1,,,,,
7985,control_change,,2,0,1,,,,,,,11,73,0,,,,,
7986,control_change,,1,0,1,,,,,,,11,74,0,,,,,
7986,control_change,,4,0,4,,,,,,,11,83,3,,,,,
7987,control_change,,2,0,2,,,,,,,11,75,1,,,,,
7987,control_change,,2,0,3,,,,,,,11,75,2,,,,,
7988,control_change,,2,0,1,,,,,,,11,75,0,,,,,
7988,control_change,,4,0,5,,,,,,,11,83,4,,,,,
7988,control_change,,1,0,3,,,,,,,11,76,2,,,,,
7988,control_change,,1,0,2,,,,,,,11,76,1,,,,,
7989,control_change,,1,0,1,,,,,,,11,76,0,,,,,
7990,control_change,,2,0,3,,,,,,,11,77,2,,,,,
7990,control_change,,4,0,4,,,,,,,11,82,3,,,,,
7990,control_change,,2,0,2,,,,,,,11,77,1,,,,,
7991,control_change,,1,0,2,,,,,,,11,78,1,,,,,
7991,control_change,,1,0,3,,,,,,,11,78,2,,,,,
7991,control_change,,2,0,1,,,,,,,11,77,0,,,,,
7992,control_change,,4,0,5,,,,,,,11,82,4,,,,,
7992,control_change,,1,0,1,,,,,,,11,78,0,,,,,
7993,control_change,,2,0,2,,,,,,,11,79,1,,,,,
7993,control_change,,2,0,3,,,,,,,11,79,2,,,,,
7994,control_change,,1,0,3,,,,,,,11,80,2,,,,,
7994,note_on,,0,0,4,,,,,,,,,3,,,64,0,
7994,control_change,,0,0,4,,,,,,,11,81,3,,,,,
7994,control_change,,1,0,2,,,,,,,11,80,1,,,,,
7994,note_on,,4,0,4,,,,,,,,,3,,,56,0,
7994,control_change,,2,0,1,,,,,,,11,79,0,,,,,
7995,control_change,,1,0,1,,,,,,,11,80,0,,,,,
7995,control_change,,1,0,3,,,,,,,11,81,2,,,,,
7995,control_change,,1,0,2,,,,,,,11,81,1,,,,,
