tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
23280,control_change,0,0,6,,,,,,,,,10,11,47,,,
23282,note_on,0,0,1,,,,,,,,,0,,,,81,83
23282,note_on,240,0,1,,,,,,,,,0,,,,78,0
23283,note_on,51,0,7,,,,,,,,,11,,,,63,80
23285,note_on,51,0,8,,,,,,,,,12,,,,60,78
23304,control_change,24,0,6,,,,,,,,,10,11,49,,,
23328,control_change,24,0,6,,,,,,,,,10,11,51,,,
23340,note_on,12,0,6,,,,,,,,,10,,,,69,0
23340,note_on,0,0,6,,,,,,,,,10,,,,72,100
23342,note_on,60,0,1,,,,,,,,,0,,,,81,0
23342,note_on,0,0,1,,,,,,,,,0,,,,84,83
23352,control_change,12,0,6,,,,,,,,,10,11,53,,,
23352,note_on,69,0,7,,,,,,,,,11,,,,63,0
23354,note_on,69,0,8,,,,,,,,,12,,,,60,0
23376,control_change,24,0,6,,,,,,,,,10,11,55,,,
23380,note_on,4,0,6,,,,,,,,,10,,,,72,0
23400,control_change,20,0,6,,,,,,,,,10,11,57,,,
23400,note_on,0,0,6,,,,,,,,,10,,,,75,100
23400,set_tempo,240,1,0,,,,,,246914,,,,,,,,
23402,note_on,60,0,1,,,,,,,,,0,,,,84,0
23402,note_on,0,0,1,,,,,,,,,0,,,,87,83
23403,note_on,51,0,7,,,,,,,,,11,,,,63,80
23405,note_on,51,0,8,,,,,,,,,12,,,,60,78
23472,note_on,69,0,7,,,,,,,,,11,,,,63,0
23474,note_on,69,0,8,,,,,,,,,12,,,,60,0
23520,set_tempo,120,1,0,,,,,,279720,,,,,,,,
23523,note_on,51,0,7,,,,,,,,,11,,,,63,80
23525,note_on,51,0,8,,,,,,,,,12,,,,60,78
23580,note_on,0,0,6,,,,,,,,,10,,,,72,100
23580,control_change,0,0,6,,,,,,,,,10,11,57,,,
23580,note_on,180,0,6,,,,,,,,,10,,,,75,0
23582,note_on,0,0,1,,,,,,,,,0,,,,84,83
23582,note_on,180,0,1,,,,,,,,,0,,,,87,0
23592,note_on,69,0,7,,,,,,,,,11,,,,63,0
23594,note_on,69,0,8,,,,,,,,,12,,,,60,0
23598,control_change,18,0,6,,,,,,,,,10,11,56,,,
23616,control_change,18,0,6,,,,,,,,,10,11,55,,,
23634,control_change,18,0,6,,,,,,,,,10,11,54,,,
23640,set_tempo,120,1,0,,,,,,294840,,,,,,,,
23640,note_on,0,0,6,,,,,,,,,10,,,,69,100
23640,note_on,6,0,6,,,,,,,,,10,,,,72,0
23642,note_on,0,0,1,,,,,,,,,0,,,,81,83
23642,note_on,60,0,1,,,,,,,,,0,,,,84,0
23643,note_on,51,0,7,,,,,,,,,11,,,,63,80
23645,note_on,51,0,8,,,,,,,,,12,,,,60,78
23652,control_change,12,0,6,,,,,,,,,10,11,53,,,
23670,control_change,18,0,6,,,,,,,,,10,11,52,,,
23688,control_change,18,0,6,,,,,,,,,10,11,51,,,
23700,note_on,12,0,6,,,,,,,,,10,,,,69,0
23700,note_on,0,0,6,,,,,,,,,10,,,,66,100
23702,note_on,60,0,1,,,,,,,,,0,,,,81,0
23702,note_on,0,0,1,,,,,,,,,0,,,,78,83
23706,control_change,6,0,6,,,,,,,,,10,11,50,,,
23712,note_on,69,0,7,,,,,,,,,11,,,,63,0
23714,note_on,69,0,8,,,,,,,,,12,,,,60,0
23724,control_change,18,0,6,,,,,,,,,10,11,49,,,
23740,note_on,16,0,6,,,,,,,,,10,,,,66,0
23742,control_change,2,0,6,,,,,,,,,10,11,48,,,
23760,set_tempo,120,1,0,,,,,,272727,,,,,,,,
23760,note_on,0,0,6,,,,,,,,,10,,,,67,92
23760,control_change,18,0,6,,,,,,,,,10,11,47,,,
23762,note_on,0,0,1,,,,,,,,,0,,,,79,83
23762,note_on,60,0,1,,,,,,,,,0,,,,78,0
23763,note_on,51,0,7,,,,,,,,,11,,,,62,80
23765,note_on,51,0,8,,,,,,,,,12,,,,59,78
23767,control_change,1320,0,9,,,,,,,,,13,11,37,,,
23767,note_on,0,0,9,,,,,,,,,13,,,,55,69
