tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
6690,note_on,,,,,210,0,1,,,,,0,,,74,0
6720,set_tempo,,,,,60,1,0,,351082,,,,,,,
6720,control_change,,,,,30,0,1,,,,,0,91,96,,
6720,note_on,,,,,0,0,2,,,,,0,,,54,112
6720,control_change,,,,,30,0,2,,,,,0,91,96,,
6720,note_on,,,,,0,0,1,,,,,0,,,66,111
6730,set_tempo,,,,,10,1,0,,351082,,,,,,,
6820,set_tempo,,,,,90,1,0,,398936,,,,,,,
6840,note_on,,,,,0,0,1,,,,,0,,,62,127
6840,note_on,,,,,0,0,2,,,,,0,,,54,127
6840,note_on,,,,,0,0,2,,,,,0,,,59,127
6840,note_on,,,,,0,0,2,,,,,0,,,47,127
6840,set_tempo,,,,,20,1,0,,352112,,,,,,,
6840,note_on,,,,,120,0,1,,,,,0,,,66,0
6840,note_on,,,,,120,0,2,,,,,0,,,54,0
6840,note_on,,,,,0,0,1,,,,,0,,,66,127
6840,note_on,,,,,0,0,1,,,,,0,,,74,127
6840,control_change,,,,,0,0,1,,,,,0,64,96,,
6930,note_on,,,,,90,0,2,,,,,0,,,59,0
6930,note_on,,,,,0,0,2,,,,,0,,,54,0
6930,note_on,,,,,0,0,2,,,,,0,,,47,0
6930,note_on,,,,,0,0,1,,,,,0,,,66,0
6930,note_on,,,,,0,0,1,,,,,0,,,62,0
6930,note_on,,,,,90,0,1,,,,,0,,,74,0
6960,note_on,,,,,0,0,2,,,,,0,,,59,77
6960,note_on,,,,,0,0,2,,,,,0,,,54,77
6960,note_on,,,,,30,0,2,,,,,0,,,47,77
6960,note_on,,,,,0,0,1,,,,,0,,,74,77
6960,note_on,,,,,0,0,1,,,,,0,,,66,77
6960,note_on,,,,,30,0,1,,,,,0,,,62,77
7005,note_on,,,,,0,0,1,,,,,0,,,62,0
7005,note_on,,,,,0,0,2,,,,,0,,,54,0
7005,note_on,,,,,45,0,2,,,,,0,,,59,0
7005,note_on,,,,,0,0,1,,,,,0,,,66,0
7005,note_on,,,,,45,0,1,,,,,0,,,74,0
7005,note_on,,,,,0,0,2,,,,,0,,,47,0
7020,note_on,,,,,0,0,2,,,,,0,,,54,92
7020,note_on,,,,,15,0,2,,,,,0,,,47,92
7020,note_on,,,,,0,0,2,,,,,0,,,59,92
7020,note_on,,,,,15,0,1,,,,,0,,,62,81
7020,note_on,,,,,0,0,1,,,,,0,,,66,81
7020,note_on,,,,,0,0,1,,,,,0,,,74,81
7065,note_on,,,,,0,0,2,,,,,0,,,47,0
7065,note_on,,,,,0,0,2,,,,,0,,,54,0
7065,note_on,,,,,45,0,2,,,,,0,,,59,0
7065,note_on,,,,,45,0,1,,,,,0,,,74,0
7065,note_on,,,,,0,0,1,,,,,0,,,62,0
7065,note_on,,,,,0,0,1,,,,,0,,,66,0
7080,note_on,,,,,0,0,2,,,,,0,,,54,102
7080,note_on,,,,,15,0,2,,,,,0,,,47,102
7080,note_on,,,,,0,0,1,,,,,0,,,74,94
7080,note_on,,,,,0,0,1,,,,,0,,,66,94
7080,note_on,,,,,15,0,1,,,,,0,,,62,94
7080,note_on,,,,,0,0,2,,,,,0,,,59,102
7125,note_on,,,,,0,0,1,,,,,0,,,62,0
7125,note_on,,,,,0,0,2,,,,,0,,,54,0
7125,note_on,,,,,0,0,2,,,,,0,,,47,0
7125,note_on,,,,,45,0,2,,,,,0,,,59,0
7125,note_on,,,,,45,0,1,,,,,0,,,74,0
7125,note_on,,,,,0,0,1,,,,,0,,,66,0
7140,note_on,,,,,15,0,2,,,,,0,,,47,112
7140,note_on,,,,,15,0,1,,,,,0,,,62,108
7140,note_on,,,,,0,0,2,,,,,0,,,59,112
7140,note_on,,,,,0,0,1,,,,,0,,,66,108
7140,note_on,,,,,0,0,2,,,,,0,,,54,112
7140,note_on,,,,,0,0,1,,,,,0,,,74,108
7185,note_on,,,,,0,0,2,,,,,0,,,54,0
7185,note_on,,,,,0,0,2,,,,,0,,,47,0
