tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,pitch,note,velocity
71473,control_change,24,0,2,,,,,,,,1,11,77,,,
71473,control_change,12,0,10,,,,,,,,11,11,87,,,
71474,control_change,24,0,3,,,,,,,,2,11,77,,,
71475,control_change,18,0,5,,,,,,,,4,11,90,,,
71475,control_change,12,0,11,,,,,,,,12,11,87,,,
71476,control_change,18,0,6,,,,,,,,5,11,90,,,
71477,control_change,24,0,4,,,,,,,,3,11,87,,,
71478,control_change,12,0,12,,,,,,,,13,11,87,,,
71481,control_change,12,0,13,,,,,,,,14,11,87,,,
71483,note_on,16,0,8,,,,,,,,15,,,,48,0
71490,note_on,18,0,9,,,,,,,,10,,,,83,0
71490,note_on,0,0,9,,,,,,,,10,,,,84,115
71491,control_change,18,0,7,,,,,,,,6,11,89,,,
71493,control_change,18,0,5,,,,,,,,4,11,89,,,
71494,control_change,18,0,6,,,,,,,,5,11,89,,,
71496,control_change,6,0,9,,,,,,,,10,11,86,,,
71496,control_change,24,0,1,,,,,,,,0,11,77,,,
71497,control_change,24,0,10,,,,,,,,11,11,86,,,
71497,control_change,24,0,2,,,,,,,,1,11,77,,,
71498,control_change,24,0,3,,,,,,,,2,11,77,,,
71499,control_change,24,0,11,,,,,,,,12,11,86,,,
71500,note_on,17,0,8,,,,,,,,15,,,,48,64
71501,control_change,24,0,4,,,,,,,,3,11,86,,,
71502,control_change,24,0,12,,,,,,,,13,11,86,,,
71505,control_change,24,0,13,,,,,,,,14,11,86,,,
71509,control_change,18,0,7,,,,,,,,6,11,88,,,
71511,control_change,18,0,5,,,,,,,,4,11,88,,,
71512,control_change,18,0,6,,,,,,,,5,11,88,,,
71516,note_on,16,0,8,,,,,,,,15,,,,48,0
71520,control_change,0,0,9,,,,,,,,10,11,85,,,
71520,note_on,0,0,9,,,,,,,,10,,,,79,115
71520,note_on,24,0,9,,,,,,,,10,,,,84,0
71520,set_tempo,120,1,0,,,,,,277778,,,,,,,
71520,control_change,24,0,1,,,,,,,,0,11,77,,,
71521,control_change,24,0,10,,,,,,,,11,11,85,,,
71521,control_change,24,0,2,,,,,,,,1,11,77,,,
71522,control_change,24,0,3,,,,,,,,2,11,77,,,
71523,control_change,24,0,11,,,,,,,,12,11,85,,,
71525,control_change,24,0,4,,,,,,,,3,11,85,,,
71526,control_change,24,0,12,,,,,,,,13,11,85,,,
71527,control_change,18,0,7,,,,,,,,6,11,87,,,
71528,note_on,12,0,8,,,,,,,,15,,,,48,64
71529,control_change,24,0,13,,,,,,,,14,11,85,,,
71529,control_change,18,0,5,,,,,,,,4,11,87,,,
71530,control_change,18,0,6,,,,,,,,5,11,87,,,
71544,note_on,16,0,8,,,,,,,,15,,,,48,0
71544,control_change,24,0,1,,,,,,,,0,11,76,,,
71544,control_change,24,0,9,,,,,,,,10,11,84,,,
71545,control_change,24,0,2,,,,,,,,1,11,76,,,
71545,control_change,24,0,10,,,,,,,,11,11,84,,,
71545,control_change,18,0,7,,,,,,,,6,11,87,,,
71546,control_change,24,0,3,,,,,,,,2,11,76,,,
71547,control_change,24,0,11,,,,,,,,12,11,84,,,
71547,control_change,18,0,5,,,,,,,,4,11,87,,,
71548,control_change,18,0,6,,,,,,,,5,11,87,,,
71549,control_change,24,0,4,,,,,,,,3,11,84,,,
71550,control_change,24,0,12,,,,,,,,13,11,84,,,
71553,control_change,24,0,13,,,,,,,,14,11,84,,,
71558,note_on,14,0,8,,,,,,,,15,,,,48,66
71561,note_on,0,0,10,,,,,,,,11,,,,63,0
71561,note_on,16,0,10,,,,,,,,11,,,,55,0
71563,note_on,0,0,11,,,,,,,,12,,,,63,0
71563,control_change,18,0,7,,,,,,,,6,11,86,,,
71563,note_on,16,0,11,,,,,,,,12,,,,60,0
71565,control_change,18,0,5,,,,,,,,4,11,86,,,
71566,control_change,18,0,6,,,,,,,,5,11,86,,,
71566,note_on,16,0,12,,,,,,,,13,,,,48,0
71568,control_change,24,0,9,,,,,,,,10,11,83,,,
71568,control_change,24,0,1,,,,,,,,0,11,75,,,
71569,note_on,16,0,13,,,,,,,,14,,,,36,0
71569,control_change,24,0,2,,,,,,,,1,11,75,,,
71569,control_change,8,0,10,,,,,,,,11,11,83,,,
71570,control_change,24,0,3,,,,,,,,2,11,75,,,
71571,control_change,8,0,11,,,,,,,,12,11,83,,,
71573,control_change,24,0,4,,,,,,,,3,11,83,,,
71574,note_on,16,0,8,,,,,,,,15,,,,48,0
71574,control_change,8,0,12,,,,,,,,13,11,83,,,
71577,control_change,8,0,13,,,,,,,,14,11,83,,,
71580,note_on,12,0,9,,,,,,,,10,,,,79,0
71581,control_change,18,0,7,,,,,,,,6,11,85,,,
71581,note_on,12,0,10,,,,,,,,11,,,,63,100
71581,note_on,0,0,10,,,,,,,,11,,,,55,100
71583,note_on,12,0,11,,,,,,,,12,,,,60,99
71583,note_on,0,0,11,,,,,,,,12,,,,63,99
71583,control_change,18,0,5,,,,,,,,4,11,85,,,
71584,control_change,18,0,6,,,,,,,,5,11,85,,,
71586,note_on,12,0,12,,,,,,,,13,,,,48,98
71587,note_on,13,0,8,,,,,,,,15,,,,48,67
71589,note_on,12,0,13,,,,,,,,14,,,,36,91
71592,control_change,12,0,9,,,,,,,,10,11,82,,,
71592,control_change,24,0,1,,,,,,,,0,11,74,,,
71593,control_change,12,0,10,,,,,,,,11,11,82,,,
71593,control_change,24,0,2,,,,,,,,1,11,74,,,
71594,control_change,24,0,3,,,,,,,,2,11,74,,,
71595,control_change,12,0,11,,,,,,,,12,11,82,,,
71597,control_change,24,0,4,,,,,,,,3,11,82,,,
71598,control_change,12,0,12,,,,,,,,13,11,82,,,
71599,control_change,18,0,7,,,,,,,,6,11,84,,,
71601,control_change,18,0,5,,,,,,,,4,11,84,,,
71601,control_change,12,0,13,,,,,,,,14,11,82,,,
71602,control_change,18,0,6,,,,,,,,5,11,84,,,
71603,note_on,16,0,8,,,,,,,,15,,,,48,0
71616,control_change,24,0,9,,,,,,,,10,11,82,,,
71616,control_change,24,0,1,,,,,,,,0,11,74,,,
71617,control_change,24,0,2,,,,,,,,1,11,74,,,
71617,control_change,24,0,10,,,,,,,,11,11,82,,,
71617,control_change,18,0,7,,,,,,,,6,11,83,,,
71618,control_change,24,0,3,,,,,,,,2,11,74,,,
71618,note_on,15,0,8,,,,,,,,15,,,,48,64
71619,control_change,18,0,5,,,,,,,,4,11,83,,,
71619,control_change,24,0,11,,,,,,,,12,11,82,,,
71620,control_change,18,0,6,,,,,,,,5,11,83,,,
71621,control_change,24,0,4,,,,,,,,3,11,82,,,
71622,control_change,24,0,12,,,,,,,,13,11,82,,,
71625,control_change,24,0,13,,,,,,,,14,11,82,,,
71634,note_on,16,0,8,,,,,,,,15,,,,48,0
71635,control_change,18,0,7,,,,,,,,6,11,82,,,
71637,control_change,18,0,5,,,,,,,,4,11,82,,,
71638,control_change,18,0,6,,,,,,,,5,11,82,,,
71640,control_change,24,0,9,,,,,,,,10,11,81,,,
71640,set_tempo,120,1,0,,,,,,268456,,,,,,,
71640,note_on,0,0,9,,,,,,,,10,,,,75,115
71640,control_change,24,0,1,,,,,,,,0,11,73,,,
71641,control_change,24,0,10,,,,,,,,11,11,81,,,
71641,control_change,24,0,2,,,,,,,,1,11,73,,,
71642,control_change,24,0,3,,,,,,,,2,11,73,,,
71643,control_change,24,0,11,,,,,,,,12,11,81,,,
71645,control_change,24,0,4,,,,,,,,3,11,81,,,
71646,control_change,24,0,12,,,,,,,,13,11,81,,,
71648,note_on,14,0,8,,,,,,,,15,,,,48,67
71649,control_change,24,0,13,,,,,,,,14,11,81,,,
71653,control_change,18,0,7,,,,,,,,6,11,82,,,
71655,control_change,18,0,5,,,,,,,,4,11,82,,,
71656,control_change,18,0,6,,,,,,,,5,11,82,,,
71664,control_change,24,0,1,,,,,,,,0,11,72,,,
71664,control_change,24,0,9,,,,,,,,10,11,80,,,
71664,note_on,16,0,8,,,,,,,,15,,,,48,0
71665,control_change,24,0,2,,,,,,,,1,11,72,,,
71665,control_change,24,0,10,,,,,,,,11,11,80,,,
71666,control_change,24,0,3,,,,,,,,2,11,72,,,
71667,control_change,24,0,11,,,,,,,,12,11,80,,,
71669,control_change,24,0,4,,,,,,,,3,11,80,,,
71670,control_change,24,0,12,,,,,,,,13,11,80,,,
71671,control_change,18,0,7,,,,,,,,6,11,81,,,
71673,control_change,24,0,13,,,,,,,,14,11,80,,,
71673,control_change,18,0,5,,,,,,,,4,11,81,,,
71674,control_change,18,0,6,,,,,,,,5,11,81,,,
71678,note_on,14,0,8,,,,,,,,15,,,,48,64
71681,note_on,0,0,10,,,,,,,,11,,,,63,0
71681,note_on,16,0,10,,,,,,,,11,,,,55,0
71683,note_on,0,0,11,,,,,,,,12,,,,60,0
71683,note_on,16,0,11,,,,,,,,12,,,,63,0
71686,note_on,16,0,12,,,,,,,,13,,,,48,0
71688,control_change,24,0,1,,,,,,,,0,11,72,,,
71688,control_change,24,0,9,,,,,,,,10,11,79,,,
71689,control_change,8,0,10,,,,,,,,11,11,79,,,
71689,control_change,24,0,2,,,,,,,,1,11,72,,,
71689,control_change,18,0,7,,,,,,,,6,11,80,,,
71689,note_on,16,0,13,,,,,,,,14,,,,36,0
71690,control_change,24,0,3,,,,,,,,2,11,72,,,
71691,control_change,8,0,11,,,,,,,,12,11,79,,,
71691,control_change,18,0,5,,,,,,,,4,11,80,,,
71692,control_change,18,0,6,,,,,,,,5,11,80,,,
71693,control_change,24,0,4,,,,,,,,3,11,79,,,
71694,control_change,8,0,12,,,,,,,,13,11,79,,,
71694,note_on,16,0,8,,,,,,,,15,,,,48,0
71697,control_change,8,0,13,,,,,,,,14,11,79,,,
71700,note_on,12,0,9,,,,,,,,10,,,,75,0
71701,note_on,0,0,10,,,,,,,,11,,,,55,100
71701,note_on,12,0,10,,,,,,,,11,,,,63,100
71703,note_on,12,0,11,,,,,,,,12,,,,60,99
71703,note_on,0,0,11,,,,,,,,12,,,,63,99
71706,note_on,12,0,12,,,,,,,,13,,,,48,98
71707,control_change,18,0,7,,,,,,,,6,11,79,,,
71708,note_on,14,0,8,,,,,,,,15,,,,48,64
71709,control_change,18,0,5,,,,,,,,4,11,79,,,
71709,note_on,12,0,13,,,,,,,,14,,,,36,91
71710,control_change,18,0,6,,,,,,,,5,11,79,,,
71712,control_change,12,0,9,,,,,,,,10,11,78,,,
71712,control_change,24,0,1,,,,,,,,0,11,72,,,
71713,control_change,12,0,10,,,,,,,,11,11,78,,,
71713,control_change,24,0,2,,,,,,,,1,11,72,,,
71714,control_change,24,0,3,,,,,,,,2,11,72,,,
71715,control_change,12,0,11,,,,,,,,12,11,78,,,
71717,control_change,24,0,4,,,,,,,,3,11,78,,,
71718,control_change,12,0,12,,,,,,,,13,11,78,,,
71721,control_change,12,0,13,,,,,,,,14,11,78,,,
71724,note_on,16,0,8,,,,,,,,15,,,,48,0
71725,control_change,18,0,7,,,,,,,,6,11,78,,,
71727,control_change,18,0,5,,,,,,,,4,11,78,,,
71728,control_change,18,0,6,,,,,,,,5,11,78,,,
71736,control_change,24,0,9,,,,,,,,10,11,77,,,
71736,control_change,24,0,1,,,,,,,,0,11,71,,,
71737,control_change,24,0,10,,,,,,,,11,11,77,,,
71737,control_change,24,0,2,,,,,,,,1,11,71,,,
71737,note_on,13,0,8,,,,,,,,15,,,,48,65
71738,control_change,24,0,3,,,,,,,,2,11,71,,,
71739,control_change,24,0,11,,,,,,,,12,11,77,,,
71741,control_change,24,0,4,,,,,,,,3,11,77,,,
71742,control_change,24,0,12,,,,,,,,13,11,77,,,
71743,control_change,18,0,7,,,,,,,,6,11,77,,,
71745,control_change,24,0,13,,,,,,,,14,11,77,,,
71745,control_change,18,0,5,,,,,,,,4,11,77,,,
71746,control_change,18,0,6,,,,,,,,5,11,77,,,
71753,note_on,16,0,8,,,,,,,,15,,,,48,0
71760,note_on,0,0,9,,,,,,,,10,,,,72,115
71760,control_change,24,0,1,,,,,,,,0,11,70,,,
71760,set_tempo,120,1,0,,,,,,281690,,,,,,,
71760,control_change,24,0,9,,,,,,,,10,11,77,,,
71761,control_change,24,0,2,,,,,,,,1,11,70,,,
71761,control_change,18,0,7,,,,,,,,6,11,77,,,
71761,control_change,24,0,10,,,,,,,,11,11,77,,,
71762,control_change,24,0,3,,,,,,,,2,11,70,,,
71763,control_change,24,0,11,,,,,,,,12,11,77,,,
71763,control_change,18,0,5,,,,,,,,4,11,77,,,
71764,control_change,18,0,6,,,,,,,,5,11,77,,,
71765,control_change,24,0,4,,,,,,,,3,11,77,,,
71766,control_change,24,0,12,,,,,,,,13,11,77,,,
71768,note_on,15,0,8,,,,,,,,15,,,,48,69
71769,control_change,24,0,13,,,,,,,,14,11,77,,,
71801,note_on,0,0,10,,,,,,,,11,,,,63,0
71801,note_on,40,0,10,,,,,,,,11,,,,55,0
71803,note_on,40,0,11,,,,,,,,12,,,,63,0
71803,note_on,0,0,11,,,,,,,,12,,,,60,0
71821,note_on,20,0,10,,,,,,,,11,,,,55,100
71821,note_on,0,0,10,,,,,,,,11,,,,63,100
71823,note_on,20,0,11,,,,,,,,12,,,,63,99
71823,note_on,0,0,11,,,,,,,,12,,,,60,99
71841,note_on,75,0,12,,,,,,,,13,,,,48,0
71844,note_on,75,0,13,,,,,,,,14,,,,36,0
71850,note_on,0,0,9,,,,,,,,10,,,,68,115
71850,note_on,85,0,4,,,,,,,,3,,,,48,0
71850,note_on,90,0,9,,,,,,,,10,,,,72,0
71855,note_on,5,0,4,,,,,,,,3,,,,56,85
71856,note_on,15,0,12,,,,,,,,13,,,,56,98
71859,note_on,15,0,13,,,,,,,,14,,,,44,91
71871,note_on,110,0,7,,,,,,,,6,,,,72,0
