tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
258817,control_change,24,0,7,,,,,,,,,6,11,96,,,
258820,control_change,24,0,2,,,,,,,,,1,11,85,,,
258821,control_change,24,0,3,,,,,,,,,2,11,85,,,
258822,control_change,24,0,8,,,,,,,,,7,11,96,,,
258824,control_change,24,0,13,,,,,,,,,12,11,96,,,
258825,control_change,24,0,4,,,,,,,,,3,11,96,,,
258828,control_change,24,0,9,,,,,,,,,8,11,96,,,
258828,control_change,24,0,14,,,,,,,,,13,11,96,,,
258836,note_on,0,0,1,,,,,,,,,0,,,,84,0
258836,note_on,19,0,1,,,,,,,,,0,,,,88,0
258839,note_on,19,0,2,,,,,,,,,1,,,,76,0
258839,note_on,0,0,2,,,,,,,,,1,,,,72,0
258840,note_on,0,0,11,,,,,,,,,10,,,,67,93
258840,control_change,120,0,11,,,,,,,,,10,11,97,,,
258840,set_tempo,120,1,0,,,,,,285714,,,,,,,,
258840,note_on,19,0,3,,,,,,,,,2,,,,76,0
258840,note_on,0,0,3,,,,,,,,,2,,,,72,0
258841,note_on,0,0,1,,,,,,,,,0,,,,88,101
258841,note_on,5,0,1,,,,,,,,,0,,,,91,101
258841,control_change,0,0,1,,,,,,,,,0,11,97,,,
258841,control_change,24,0,7,,,,,,,,,6,11,97,,,
258842,note_on,0,0,7,,,,,,,,,6,,,,67,112
258842,note_on,1,0,7,,,,,,,,,6,,,,72,0
258842,note_on,0,0,7,,,,,,,,,6,,,,60,0
258842,note_on,0,0,7,,,,,,,,,6,,,,55,112
258843,control_change,120,0,12,,,,,,,,,11,11,97,,,
258843,note_on,0,0,12,,,,,,,,,11,,,,64,93
258844,note_on,19,0,4,,,,,,,,,3,,,,64,0
258844,note_on,0,0,2,,,,,,,,,1,,,,76,100
258844,control_change,0,0,2,,,,,,,,,1,11,97,,,
258844,note_on,0,0,4,,,,,,,,,3,,,,60,0
258844,note_on,5,0,2,,,,,,,,,1,,,,79,100
258845,note_on,0,0,3,,,,,,,,,2,,,,76,101
258845,note_on,0,0,3,,,,,,,,,2,,,,79,101
258845,control_change,5,0,3,,,,,,,,,2,11,97,,,
258846,control_change,24,0,8,,,,,,,,,7,11,97,,,
258848,note_on,24,0,13,,,,,,,,,12,,,,67,112
258848,control_change,0,0,13,,,,,,,,,12,11,97,,,
258848,note_on,0,0,13,,,,,,,,,12,,,,59,112
258849,control_change,0,0,4,,,,,,,,,3,11,112,,,
258849,note_on,0,0,4,,,,,,,,,3,,,,67,100
258849,note_on,5,0,4,,,,,,,,,3,,,,64,100
258852,note_on,24,0,14,,,,,,,,,13,,,,64,112
258852,control_change,0,0,14,,,,,,,,,13,11,97,,,
258852,control_change,24,0,9,,,,,,,,,8,11,97,,,
258853,note_on,0,0,9,,,,,,,,,8,,,,43,110
258853,note_on,1,0,9,,,,,,,,,8,,,,48,0
258854,note_on,120,0,15,,,,,,,,,14,,,,36,0
258854,note_on,0,0,15,,,,,,,,,14,,,,31,112
258855,note_on,120,0,10,,,,,,,,,15,,,,48,0
258855,note_on,0,0,10,,,,,,,,,15,,,,43,87
258858,control_change,16,0,7,,,,,,,,,6,11,96,,,
258861,control_change,12,0,4,,,,,,,,,3,11,109,,,
258863,control_change,17,0,8,,,,,,,,,7,11,96,,,
258864,control_change,24,0,11,,,,,,,,,10,11,96,,,
258865,control_change,24,0,1,,,,,,,,,0,11,92,,,
258867,control_change,24,0,12,,,,,,,,,11,11,96,,,
258868,control_change,24,0,2,,,,,,,,,1,11,92,,,
258869,control_change,24,0,3,,,,,,,,,2,11,92,,,
258869,control_change,16,0,9,,,,,,,,,8,11,96,,,
258872,control_change,24,0,13,,,,,,,,,12,11,96,,,
258873,control_change,12,0,4,,,,,,,,,3,11,106,,,
258874,control_change,16,0,7,,,,,,,,,6,11,95,,,
258876,control_change,24,0,14,,,,,,,,,13,11,96,,,
258879,control_change,16,0,8,,,,,,,,,7,11,95,,,
258885,control_change,16,0,9,,,,,,,,,8,11,95,,,
258885,control_change,12,0,4,,,,,,,,,3,11,103,,,
258888,control_change,24,0,11,,,,,,,,,10,11,95,,,
258889,control_change,24,0,1,,,,,,,,,0,11,88,,,
258890,control_change,16,0,7,,,,,,,,,6,11,94,,,
258891,control_change,24,0,12,,,,,,,,,11,11,95,,,
258892,control_change,24,0,2,,,,,,,,,1,11,88,,,
258893,control_change,24,0,3,,,,,,,,,2,11,88,,,
258895,control_change,16,0,8,,,,,,,,,7,11,94,,,
258896,control_change,24,0,13,,,,,,,,,12,11,95,,,
258897,control_change,12,0,4,,,,,,,,,3,11,100,,,
258900,note_on,12,0,11,,,,,,,,,10,,,,67,0
258900,control_change,24,0,14,,,,,,,,,13,11,95,,,
258901,control_change,16,0,9,,,,,,,,,8,11,94,,,
258903,note_on,12,0,12,,,,,,,,,11,,,,64,0
258906,control_change,16,0,7,,,,,,,,,6,11,93,,,
