tick,type,tempo,time,meta,track,control,value,channel,program,note,velocity
912,note_on,,0,0,0,,,1,,61,0
912,note_on,,0,0,0,,,1,,62,95
936,note_on,,24,0,0,,,0,,74,0
936,note_on,,0,0,0,,,0,,74,95
936,note_on,,0,0,0,,,1,,62,0
936,note_on,,0,0,0,,,1,,62,95
960,note_on,,24,0,0,,,0,,74,0
960,note_on,,0,0,0,,,0,,75,95
960,note_on,,0,0,0,,,1,,62,0
960,note_on,,0,0,0,,,1,,63,95
960,note_on,,0,0,0,,,2,,60,95
960,note_on,,0,0,0,,,3,,55,95
960,note_on,,0,0,0,,,4,,48,95
1008,note_on,,48,0,0,,,0,,75,0
1008,note_on,,0,0,0,,,0,,76,95
1008,note_on,,0,0,0,,,1,,63,0
1008,note_on,,0,0,0,,,2,,60,0
1008,note_on,,0,0,0,,,3,,55,0
1008,note_on,,0,0,0,,,4,,48,0
1008,note_on,,0,0,0,,,1,,64,95
1008,note_on,,0,0,0,,,2,,60,95
1008,note_on,,0,0,0,,,3,,55,95
1008,note_on,,0,0,0,,,4,,48,95
1056,note_on,,48,0,0,,,0,,76,0
1056,note_on,,0,0,0,,,1,,64,0
1056,note_on,,0,0,0,,,2,,60,0
1056,note_on,,0,0,0,,,3,,55,0
1056,note_on,,0,0,0,,,4,,48,0
1080,note_on,,24,0,0,,,0,,55,95
1092,note_on,,12,0,0,,,0,,55,0
1092,note_on,,0,0,0,,,0,,60,95
1104,note_on,,12,0,0,,,0,,60,0
1104,note_on,,0,0,0,,,0,,64,95
1116,note_on,,12,0,0,,,0,,64,0
1116,note_on,,0,0,0,,,0,,67,95
1128,note_on,,12,0,0,,,0,,67,0
1128,note_on,,0,0,0,,,0,,72,95
1140,note_on,,12,0,0,,,0,,72,0
1140,note_on,,0,0,0,,,0,,76,95
1152,note_on,,12,0,0,,,0,,76,0
1152,note_on,,0,0,0,,,0,,79,95
1152,note_on,,0,0,0,,,1,,76,95
1152,note_on,,0,0,0,,,2,,67,95
1152,note_on,,0,0,0,,,3,,48,95
1152,note_on,,0,0,0,,,4,,36,95
1200,note_on,,48,0,0,,,0,,79,0
1200,note_on,,0,0,0,,,0,,79,95
1200,note_on,,0,0,0,,,1,,76,0
1200,note_on,,0,0,0,,,2,,67,0
1200,note_on,,0,0,0,,,1,,76,95
1200,note_on,,0,0,0,,,2,,67,95
1224,note_on,,24,0,0,,,0,,79,0
1224,note_on,,0,0,0,,,0,,79,95
1224,note_on,,0,0,0,,,1,,76,0
1224,note_on,,0,0,0,,,2,,67,0
1224,note_on,,0,0,0,,,1,,76,95
1224,note_on,,0,0,0,,,2,,67,95
1248,note_on,,24,0,0,,,3,,48,0
1248,note_on,,0,0,0,,,0,,79,95
1248,note_on,,0,0,0,,,4,,36,0
1248,note_on,,0,0,0,,,0,,79,0
1248,note_on,,0,0,0,,,1,,76,0
1248,note_on,,0,0,0,,,2,,67,0
1248,note_on,,0,0,0,,,1,,74,95
1248,note_on,,0,0,0,,,2,,67,95
1248,note_on,,0,0,0,,,3,,47,95
1248,note_on,,0,0,0,,,4,,35,95
1296,note_on,,48,0,0,,,3,,47,0
1296,note_on,,0,0,0,,,4,,35,0
1296,note_on,,0,0,0,,,3,,59,95
1296,note_on,,0,0,0,,,4,,47,95
1320,note_on,,24,0,0,,,0,,79,0
1320,note_on,,0,0,0,,,0,,79,95
1320,note_on,,0,0,0,,,1,,74,0
1320,note_on,,0,0,0,,,2,,67,0
1320,note_on,,0,0,0,,,3,,59,0
1320,note_on,,0,0,0,,,4,,47,0
1320,note_on,,0,0,0,,,1,,74,95
1320,note_on,,0,0,0,,,2,,67,95
1320,note_on,,0,0,0,,,3,,59,95
1320,note_on,,0,0,0,,,4,,47,95
1344,note_on,,24,0,0,,,0,,79,0
1344,note_on,,0,0,0,,,0,,84,95
1344,note_on,,0,0,0,,,1,,74,0
1344,note_on,,0,0,0,,,2,,67,0
1344,note_on,,0,0,0,,,3,,59,0
1344,note_on,,0,0,0,,,4,,47,0
1344,note_on,,0,0,0,,,1,,79,95
1344,note_on,,0,0,0,,,2,,72,95
1344,note_on,,0,0,0,,,3,,57,95
1344,note_on,,0,0,0,,,4,,45,95
1392,note_on,,48,0,0,,,0,,84,0
1392,note_on,,0,0,0,,,0,,84,95
1392,note_on,,0,0,0,,,1,,79,0
1392,note_on,,0,0,0,,,2,,72,0
1392,note_on,,0,0,0,,,3,,57,0
1392,note_on,,0,0,0,,,4,,45,0
