tick,type,time,meta,track,tempo,note,velocity,channel
2430,note_on,0,0,2,,72,64,0
2430,note_off,30,0,2,,69,64,0
2460,note_off,30,0,2,,72,64,0
2460,note_on,0,0,2,,75,64,0
2490,note_off,30,0,2,,75,64,0
2490,note_on,0,0,2,,76,64,0
2520,note_off,120,0,1,,57,64,0
2520,note_off,0,0,1,,60,64,0
2520,note_off,30,0,2,,76,64,0
2520,note_on,0,0,1,,62,64,0
2520,note_on,0,0,2,,81,64,0
2520,note_on,0,0,1,,53,64,0
2550,note_on,0,0,2,,79,64,0
2550,note_off,30,0,2,,81,64,0
2580,note_on,0,0,2,,77,64,0
2580,note_off,30,0,2,,79,64,0
2610,note_on,0,0,2,,76,64,0
2610,note_off,30,0,2,,77,64,0
2640,note_off,30,0,2,,76,64,0
2640,note_off,0,0,1,,62,64,0
2640,note_on,0,0,1,,55,64,0
2640,note_on,0,0,2,,74,64,0
2640,note_on,0,0,1,,59,64,0
2640,note_off,120,0,1,,53,64,0
2670,note_on,0,0,2,,72,64,0
2670,note_off,30,0,2,,74,64,0
2700,note_on,0,0,2,,71,64,0
2700,note_off,30,0,2,,72,64,0
2730,note_on,0,0,2,,69,64,0
2730,note_off,30,0,2,,71,64,0
2760,note_on,0,0,2,,67,64,0
2760,note_off,30,0,2,,69,64,0
2790,note_on,0,0,2,,66,64,0
2790,note_off,30,0,2,,67,64,0
2820,note_on,0,0,2,,65,64,0
2820,note_off,30,0,2,,66,64,0
2850,note_off,30,0,2,,65,64,0
2850,note_on,0,0,2,,64,64,0
2880,note_on,0,0,1,,59,64,0
2880,note_off,240,0,1,,55,64,0
2880,note_off,0,0,1,,59,64,0
2880,note_off,30,0,2,,64,64,0
2880,note_on,0,0,1,,62,64,0
2910,note_on,30,0,2,,67,64,0
2940,note_on,0,0,2,,81,64,0
2940,note_off,30,0,2,,67,64,0
2970,note_off,30,0,2,,81,64,0
2970,note_on,0,0,2,,79,64,0
3000,note_off,30,0,2,,79,64,0
3000,note_on,0,0,2,,78,64,0
3000,note_on,0,0,1,,57,64,0
3000,note_on,0,0,1,,60,64,0
3000,note_off,0,0,1,,62,64,0
3000,note_off,120,0,1,,59,64,0
3030,note_off,0,0,1,,60,64,0
3030,note_on,0,0,2,,67,64,0
3030,note_off,30,0,2,,78,64,0
3030,note_off,30,0,1,,57,64,0
3060,note_off,30,0,2,,67,64,0
3060,note_on,0,0,2,,77,64,0
3060,note_on,30,0,1,,59,64,0
3060,note_on,0,0,1,,62,64,0
3090,note_off,0,0,1,,62,64,0
3090,note_off,30,0,1,,59,64,0
3090,note_off,30,0,2,,77,64,0
3090,note_on,0,0,2,,68,64,0
3120,note_on,0,0,2,,67,64,0
3120,note_off,30,0,2,,68,64,0
3120,note_on,0,0,2,,67,64,0
3120,note_on,0,0,1,,64,64,0
3120,note_on,30,0,1,,60,64,0
3150,note_off,30,0,2,,67,64,0
3150,note_on,0,0,2,,76,64,0
3180,note_off,30,0,2,,76,64,0
3180,note_on,0,0,2,,72,64,0
3210,note_on,0,0,2,,68,64,0
3210,note_off,30,0,2,,67,64,0
3210,note_on,0,0,2,,68,64,0
3210,note_off,0,0,2,,72,64,0
3240,note_off,0,0,1,,64,64,0
3240,note_on,0,0,1,,57,64,0
3240,note_on,0,0,2,,69,64,0
3240,note_off,0,0,2,,68,64,0
3240,note_off,30,0,2,,68,64,0
3240,note_on,0,0,1,,60,64,0
3240,note_off,120,0,1,,60,64,0
3270,note_on,0,0,2,,72,64,0
3270,note_off,30,0,2,,69,64,0
3300,note_off,30,0,2,,72,64,0
3300,note_on,0,0,2,,76,64,0
